"time (m)",V,Ah
0,41.08,0
0.01,41.08,0.00021262939958592133
0.02,41.18,0.0004257763975155279
0.03,41.16,0.0006388198757763974
0.04,41.14,0.0008517598343685299
0.05,41.1,0.0010644927536231884
0.06,41.06,0.0012770186335403725
0.07,41.04,0.0014894409937888198
0.08,41.01,0.0017017080745341613
0.09,40.99,0.0019138716356107658
0.1,40.97,0.0021259316770186336
0.11,40.94,0.0023378364389233953
0.12,40.92,0.00254963768115942
0.13,40.9,0.002761335403726708
0.14,40.89,0.0029729813664596274
0.15,40.86,0.0031844720496894408
0.16,40.84,0.0033958592132505177
0.17,40.83,0.003607194616977226
0.18,40.81,0.0038184265010351966
0.19,40.8,0.004029606625258799
0.19,40.78,0.004029606625258799
0.2,40.76,0.004240579710144928
0.21,40.75,0.004451501035196687
0.22,40.73,0.0046623188405797095
0.23,40.72,0.004873084886128364
0.24,40.7,0.005083747412008281
0.25,40.69,0.00529435817805383
0.26,40.68,0.00550491718426501
0.27,40.67,0.005715424430641822
0.28,40.65,0.005925828157349896
0.29,40.64,0.006136180124223602
0.3,40.63,0.00634648033126294
0.31,40.62,0.006556728778467909
0.32,40.61,0.006766925465838509
0.33,40.6,0.006977070393374741
0.34,40.59,0.007187163561076604
0.35,40.58,0.007397204968944098
0.36,40.57,0.007607194616977224
0.37,40.56,0.007817132505175982
0.38,40.55,0.008027018633540372
0.39,40.54,0.008236853002070393
0.4,40.53,0.008446635610766045
0.41,40.52,0.008656366459627328
0.42,40.51,0.008866045548654243
0.43,40.5,0.00907567287784679
0.44,40.49,0.009285248447204969
0.45,40.48,0.00949477225672878
0.47,40.47,0.00991371635610766
0.48,40.45,0.010123084886128364
0.49,40.44,0.0103324016563147
0.51,40.43,0.010750931677018634
0.53,40.42,0.011169358178053831
0.54,40.41,0.01137851966873706
0.55,40.4,0.011587629399585922
0.56,40.39,0.011796687370600415
0.57,40.38,0.012005693581780537
0.59,40.37,0.012423602484472048
0.6,40.36,0.012632505175983435
0.62,40.35,0.013050207039337472
0.63,40.34,0.013259006211180122
0.65,40.33,0.013676501035196686
0.66,40.32,0.0138851966873706
0.68,40.31,0.01430248447204969
0.69,40.3,0.014511076604554864
0.71,40.29,0.014928157349896479
0.72,40.28,0.015136645962732918
0.74,40.27,0.015553519668737059
0.75,40.26,0.01576190476190476
0.78,40.25,0.016386904761904762
0.8,40.24,0.01680346790890269
0.82,40.23,0.01721992753623188
0.83,40.22,0.01742810559006211
0.85,40.21,0.01784435817805383
0.86,40.2,0.01805243271221532
0.89,40.19,0.018676501035196687
0.91,40.18,0.019092443064182195
0.93,40.17,0.019508281573498966
0.94,40.16,0.01971614906832298
0.96,40.15,0.020131780538302276
0.99,40.14,0.020755072463768114
1.02,40.13,0.021378209109730848
1.03,40.12,0.02158586956521739
1.06,40.11,0.022208695652173913
1.07,40.1,0.02241625258799172
1.1,40.09,0.02303876811594203
1.12,40.08,0.023453674948240168
1.14,40.07,0.023868478260869564
1.18,40.06,0.02469787784679089
1.2,40.05,0.025112474120082818
1.25,40.04,0.02614870600414079
1.28,40.03,0.026770289855072467
1.3,40.02,0.02718457556935818
1.33,40.01,0.027805848861283646
1.35,40,0.028219927536231888
1.4,39.99,0.02925486542443064
1.41,39.98,0.029461801242236026
1.46,39.97,0.030496221532091097
1.49,39.96,0.031116718426501037
1.53,39.95,0.03194384057971015
1.56,39.94,0.032564026915113876
1.61,39.93,0.03359741200828158
1.63,39.92,0.03401066252587991
1.67,39.91,0.034836956521739126
1.73,39.9,0.03607608695652174
1.76,39.89,0.036695496894409936
1.81,39.88,0.03772758799171842
1.86,39.87,0.038759420289855066
1.9,39.86,0.03958467908902691
1.96,39.85,0.04082225672877846
1.98,39.84,0.04123467908902691
2.06,39.83,0.04288395445134575
2.1,39.82,0.04370838509316769
2.2,39.81,0.04576894409937887
2.24,39.8,0.04659296066252587
2.31,39.79,0.04803462732919253
2.35,39.78,0.04885822981366458
2.45,39.77,0.05091671842650102
2.5,39.76,0.051945703933747395
2.54,39.75,0.05276868530020702
2.65,39.74,0.05503131469979294
2.7,39.73,0.05605952380952379
2.79,39.72,0.05790983436853
2.87,39.71,0.05955414078674946
3.01,39.7,0.06243095238095236
3.11,39.69,0.06448530020703931
3.2,39.68,0.06633374741200826
3.3,39.67,0.06838706004140784
3.38,39.66,0.07002929606625255
3.58,39.65,0.07413385093167699
3.67,39.64,0.07598043478260866
3.86,39.63,0.07987779503105587
4.03,39.62,0.08336402691511384
4.23,39.61,0.08746444099378879
4.4,39.6,0.09094891304347823
4.69,39.59,0.09689151138716352
4.89,39.58,0.10098881987577635
5.09,39.57,0.10508509316770182
5.4,39.57,0.1114343167701863
5.56,39.56,0.11471050724637676
5.87,39.56,0.12105812629399582
6,39.55,0.12371935817805378
6.3,39.55,0.12986066252587986
6.55,39.54,0.13497712215320906
6.68,39.54,0.13763768115942024
6.98,39.53,0.14377587991718424
7.14,39.54,0.14705041407867492
7.44,39.53,0.15318861283643892
7.75,39.53,0.15953141821946168
8.01,39.52,0.16484984472049688
8.32,39.52,0.17119104554865425
8.5,39.53,0.17487396480331263
8.8,39.52,0.18101061076604558
8.82,39.51,0.1814196169772257
9.13,39.51,0.18775921325051764
9.43,39.51,0.19389430641821948
9.73,39.51,0.20002939958592136
10.04,39.51,0.20636899585921326
10.35,39.51,0.2127085921325052
10.66,39.51,0.21904818840579715
10.71,39.5,0.22007044513457563
11.02,39.51,0.22641004140786752
11.14,39.5,0.22886345755693588
11.28,39.5,0.23172577639751557
11.43,39.5,0.234792546583851
11.74,39.51,0.24113214285714293
11.77,39.5,0.24174549689441
12.07,39.5,0.24787903726708083
12.38,39.5,0.25421702898550735
12.68,39.5,0.26035056935817813
12.95,39.51,0.2658721532091098
13.25,39.5,0.2720056935817806
13.56,39.5,0.27834368530020714
13.68,39.49,0.28079648033126303
13.97,39.49,0.2867240683229815
14.11,39.49,0.28958566252587997
14.42,39.49,0.2959220496894411
14.55,39.5,0.29857991718426513
14.86,39.49,0.3049163043478262
15.06,39.5,0.30900533126294005
15.23,39.5,0.31248100414078683
15.37,39.5,0.3153433229813665
15.59,39.5,0.3198412525879918
15.77,39.5,0.32352137681159426
16.07,39.49,0.32965336438923404
16.37,39.49,0.3357853519668738
16.65,39.48,0.34150709109730853
16.95,39.49,0.3476390786749483
17.26,39.48,0.353973861283644
17.57,39.49,0.36031024844720505
17.82,39.48,0.365418944099379
18.12,39.49,0.37155093167701875
18.18,39.48,0.37277701863354046
18.3,39.48,0.37522919254658393
18.6,39.49,0.3813611801242237
18.91,39.48,0.38769596273291934
19.22,39.48,0.394030745341615
19.52,39.48,0.4001611801242237
19.66,39.49,0.40302277432712225
