"time (m)",V,Ah
0,48.18,0
0.01,47.36,0.00024513457556935817
0.02,47.34,0.0004901656314699793
0.03,47.32,0.0007350931677018633
0.04,47.3,0.0009799171842650102
0.05,47.29,0.0012246894409937887
0.06,47.28,0.0014694099378881986
0.07,47.27,0.0017140786749482403
0.08,47.26,0.001958695652173913
0.09,47.25,0.002203260869565217
0.1,47.24,0.002447774327122153
0.11,47.23,0.0026922360248447202
0.12,47.22,0.002936645962732919
0.13,47.21,0.0031810041407867493
0.15,47.2,0.0036696169772256725
0.16,47.19,0.003913871635610766
0.18,47.18,0.004402277432712215
0.19,47.17,0.004646428571428571
0.2,47.16,0.004890527950310559
0.21,47.15,0.0051345755693581775
0.23,47.14,0.005622567287784679
0.24,47.13,0.00586651138716356
0.26,47.12,0.006354296066252587
0.29,47.11,0.007085817805383021
0.3,47.1,0.007329606625258798
0.32,47.09,0.007817080745341614
0.33,47.08,0.008060766045548654
0.34,47.07,0.008304399585921324
0.37,47.06,0.00903514492753623
0.38,47.05,0.009278674948240164
0.4,47.04,0.009765631469979295
0.41,47.03,0.010009057971014491
0.44,47.02,0.010739182194616977
0.46,47.01,0.011225828157349897
0.48,47,0.01171237060041408
0.49,46.99,0.011955590062111802
0.51,46.98,0.012441925465838511
0.53,46.97,0.012928157349896482
0.55,46.96,0.013414285714285717
0.57,46.95,0.013900310559006212
0.59,46.94,0.014386231884057972
0.61,46.93,0.014872049689440996
0.63,46.92,0.015357763975155281
0.65,46.91,0.01584337474120083
0.68,46.9,0.016571635610766047
0.69,46.89,0.016814337474120082
0.72,46.88,0.01754228778467909
0.74,46.87,0.01802748447204969
0.76,46.86,0.018512577639751556
0.78,46.85,0.01899756728778468
0.81,46.84,0.019724896480331267
0.82,46.83,0.01996728778467909
0.84,46.82,0.020451966873706005
0.86,46.81,0.020936542443064185
0.88,46.8,0.021421014492753625
0.92,46.79,0.022389751552795035
0.93,46.78,0.02263188405797102
0.97,46.77,0.023600207039337476
0.98,46.76,0.023842236024844723
1,46.75,0.02432619047619048
1.03,46.74,0.02505196687370601
1.05,46.73,0.02553571428571429
1.07,46.72,0.026019358178053835
1.1,46.71,0.026744668737060048
1.13,46.7,0.027469824016563147
1.15,46.69,0.02795315734989648
1.18,46.68,0.028678002070393373
1.21,46.67,0.029402691511387163
1.23,46.66,0.029885714285714286
1.24,46.65,0.030127173913043478
1.26,46.64,0.030609989648033128
1.3,46.63,0.03157541407867495
1.31,46.62,0.03181671842650104
1.35,46.61,0.03278172877846791
1.38,46.6,0.033505331262939954
1.4,46.59,0.03398762939958592
1.43,46.58,0.034710921325051755
1.45,46.57,0.03519301242236025
1.48,46.56,0.03591599378881988
1.5,46.55,0.03639787784679089
1.51,46.54,0.03663876811594203
1.53,46.53,0.03712044513457557
1.57,46.52,0.03808359213250517
1.6,46.51,0.038805797101449276
1.63,46.5,0.03952784679089026
1.65,46.49,0.040009109730848855
1.67,46.48,0.04049026915113871
1.71,46.47,0.04145238095238094
1.74,46.46,0.042173809523809516
1.76,46.45,0.042654658385093164
1.79,46.44,0.043375776397515525
1.84,46.43,0.04457738095238095
1.86,46.42,0.045057919254658386
1.87,46.41,0.04529813664596274
1.91,46.4,0.04625879917184265
1.93,46.39,0.04673902691511387
1.97,46.38,0.04769927536231884
1.99,46.37,0.04817929606625259
2.02,46.36,0.04889917184265011
2.05,46.35,0.049618892339544515
2.09,46.34,0.05057831262939959
2.11,46.33,0.051057919254658385
2.13,46.32,0.05153742236024845
2.16,46.31,0.052256521739130445
2.18,46.3,0.052735817805383035
2.23,46.29,0.053933799171842656
2.26,46.28,0.05465243271221532
2.3,46.27,0.05561040372670808
2.31,46.26,0.0558498447204969
2.35,46.25,0.056807401656314704
2.37,46.24,0.05728607660455487
2.41,46.23,0.05824321946169773
2.44,46.22,0.05896092132505176
2.46,46.21,0.059439285714285715
2.49,46.2,0.060156677018633545
2.51,46.19,0.06063483436853002
2.56,46.18,0.06182996894409938
2.58,46.17,0.06230791925465839
2.62,46.16,0.06326361283643893
2.64,46.15,0.06374135610766046
2.69,46.14,0.06493545548654245
2.72,46.13,0.06565175983436854
2.74,46.12,0.06612919254658386
2.78,46.11,0.06708385093167703
2.81,46.1,0.06779968944099381
2.85,46.09,0.06875393374741202
2.87,46.08,0.06923095238095239
2.91,46.07,0.07018478260869566
