time,V,Ah
0.25,38.49,0.020
0.50,38.49,0.039
0.75,38.49,0.059
1.00,38.49,0.078
1.25,38.49,0.098
1.50,38.49,0.117
1.75,38.49,0.137
2.00,38.49,0.156
2.25,38.49,0.176
2.50,38.49,0.196
2.75,38.49,0.215
3.00,38.48,0.235
3.25,38.49,0.254
3.50,38.48,0.274
3.75,38.48,0.293
4.00,38.48,0.313
4.25,38.48,0.332
4.50,38.48,0.352
4.75,38.48,0.372
5.00,38.48,0.391
5.25,38.48,0.411
5.50,38.48,0.430
5.75,38.48,0.450
6.00,38.48,0.469
6.25,38.48,0.489
6.50,38.48,0.508
6.75,38.48,0.528
7.00,38.48,0.548
7.25,38.48,0.567
7.50,38.48,0.587
7.75,38.48,0.606
8.00,38.48,0.626
8.25,38.48,0.645
8.50,38.47,0.665
8.75,38.48,0.684
9.00,38.47,0.704
9.25,38.47,0.723
9.50,38.47,0.743
9.75,38.47,0.763
10.00,38.47,0.782
10.25,38.47,0.802
10.50,38.47,0.821
10.75,38.47,0.841
11.00,38.47,0.860
11.25,38.47,0.880
11.50,38.47,0.899
11.75,38.47,0.919
12.00,38.47,0.939
12.25,38.47,0.958
12.50,38.47,0.978
12.75,38.47,0.997
13.00,38.47,1.017
13.25,38.47,1.036
13.50,38.47,1.056
13.75,38.47,1.075
14.00,38.47,1.095
14.25,38.47,1.114
14.50,38.46,1.134
14.75,38.46,1.154
15.00,38.46,1.173
15.25,38.46,1.193
15.50,38.46,1.212
15.75,38.46,1.232
16.00,38.46,1.251
16.25,38.46,1.271
16.50,38.46,1.290
16.75,38.46,1.310
17.00,38.46,1.329
17.25,38.46,1.349
17.50,38.46,1.369
17.75,38.46,1.388
18.00,38.46,1.408
18.25,38.46,1.427
18.50,38.46,1.447
18.75,38.46,1.466
19.00,38.46,1.486
19.25,38.46,1.505
19.50,38.46,1.525
19.75,38.45,1.544
20.00,38.45,1.564
20.25,38.46,1.583
20.50,38.45,1.603
20.75,38.45,1.623
21.00,38.45,1.642
21.25,38.45,1.662
21.50,38.45,1.681
21.75,38.45,1.701
22.00,38.45,1.720
22.25,38.45,1.740
22.50,38.45,1.759
22.75,38.45,1.779
23.00,38.45,1.798
23.25,38.45,1.818
23.50,38.44,1.837
23.75,38.44,1.857
24.00,38.44,1.877
24.25,38.44,1.896
24.50,38.44,1.916
24.75,38.44,1.935
25.00,38.44,1.955
25.25,38.44,1.974
25.50,38.44,1.994
25.75,38.44,2.013
26.00,38.44,2.033
26.25,38.44,2.052
26.50,38.43,2.072
26.75,38.43,2.091
27.00,38.43,2.111
27.25,38.43,2.130
27.50,38.43,2.150
27.75,38.43,2.169
28.00,38.43,2.189
28.25,38.43,2.209
28.50,38.43,2.228
28.75,38.42,2.248
29.00,38.42,2.267
29.25,38.42,2.287
29.50,38.42,2.306
29.75,38.42,2.326
30.00,38.42,2.345
30.25,38.42,2.365
30.50,38.42,2.384
30.75,38.42,2.404
31.00,38.42,2.423
31.25,38.42,2.443
31.50,38.41,2.462
31.75,38.42,2.482
32.00,38.41,2.501
32.25,38.41,2.521
32.50,38.41,2.540
32.75,38.41,2.560
33.00,38.41,2.579
33.25,38.40,2.599
33.50,38.40,2.618
33.75,38.40,2.638
34.00,38.40,2.657
34.25,38.40,2.677
34.50,38.40,2.697
34.75,38.40,2.716
35.00,38.40,2.736
