time,V,Ah
0.25,39.39,0.020
0.50,39.04,0.040
0.75,38.86,0.060
1.00,38.76,0.079
1.25,38.71,0.099
1.50,38.68,0.119
1.75,38.66,0.138
2.00,38.65,0.158
2.25,38.64,0.178
2.50,38.62,0.197
2.75,38.62,0.217
3.00,38.61,0.236
3.25,38.61,0.256
3.50,38.60,0.276
3.75,38.60,0.295
4.00,38.60,0.315
4.25,38.60,0.334
4.50,38.59,0.354
4.75,38.59,0.374
5.00,38.59,0.393
5.25,38.58,0.413
5.50,38.58,0.433
5.75,38.58,0.452
6.00,38.58,0.472
6.25,38.58,0.491
6.50,38.58,0.511
6.75,38.58,0.531
7.00,38.58,0.550
7.25,38.58,0.570
7.50,38.58,0.589
7.75,38.58,0.609
8.00,38.58,0.629
8.25,38.58,0.648
8.50,38.58,0.668
8.75,38.58,0.687
9.00,38.58,0.707
9.25,38.58,0.727
9.50,38.58,0.746
9.75,38.58,0.766
10.00,38.58,0.785
10.25,38.58,0.805
10.50,38.58,0.825
10.75,38.58,0.844
11.00,38.58,0.864
11.25,38.58,0.883
11.50,38.58,0.903
11.75,38.57,0.923
12.00,38.57,0.942
12.25,38.58,0.962
12.50,38.58,0.981
12.75,38.57,1.001
13.00,38.57,1.021
13.25,38.57,1.040
13.50,38.57,1.060
13.75,38.57,1.079
14.00,38.57,1.099
14.25,38.57,1.119
14.50,38.57,1.138
14.75,38.57,1.158
15.00,38.57,1.177
15.25,38.57,1.197
15.50,38.57,1.217
15.75,38.57,1.236
16.00,38.57,1.256
16.25,38.57,1.275
16.50,38.57,1.295
16.75,38.57,1.315
17.00,38.57,1.334
17.25,38.57,1.354
17.50,38.57,1.373
17.75,38.57,1.393
18.00,38.57,1.413
18.25,38.57,1.432
18.50,38.57,1.452
18.75,38.57,1.471
19.00,38.56,1.491
19.25,38.57,1.511
19.50,38.57,1.530
19.75,38.56,1.550
20.00,38.56,1.569
20.25,38.56,1.589
20.50,38.56,1.609
20.75,38.56,1.628
21.00,38.56,1.648
21.25,38.56,1.667
21.50,38.56,1.687
21.75,38.56,1.706
22.00,38.56,1.726
22.25,38.56,1.746
22.50,38.56,1.765
22.75,38.56,1.785
23.00,38.56,1.804
23.25,38.56,1.824
23.50,38.56,1.844
23.75,38.55,1.863
24.00,38.56,1.883
24.25,38.55,1.902
24.50,38.55,1.922
