time,V,Ah
0.25,40.08,0.020
0.50,39.92,0.041
0.75,39.69,0.061
1.00,39.55,0.081
1.25,39.48,0.101
1.50,39.41,0.121
1.75,39.34,0.141
2.00,39.28,0.161
2.25,39.24,0.181
2.50,39.20,0.201
2.75,39.17,0.221
3.00,39.14,0.241
3.25,39.12,0.260
3.50,39.11,0.280
3.75,39.10,0.300
4.00,39.08,0.320
4.25,39.08,0.340
4.50,39.07,0.360
4.75,39.07,0.380
5.00,39.06,0.399
5.25,39.06,0.419
5.50,39.06,0.439
5.75,39.06,0.459
6.00,39.05,0.479
6.25,39.05,0.499
6.50,39.05,0.519
6.75,39.05,0.538
7.00,39.05,0.558
7.25,39.05,0.578
7.50,39.05,0.598
7.75,39.05,0.618
8.00,39.05,0.638
8.25,39.05,0.657
8.50,39.05,0.677
8.75,39.05,0.697
9.00,39.05,0.717
9.25,39.05,0.737
9.50,39.05,0.757
9.75,39.05,0.777
10.00,39.05,0.796
10.25,39.05,0.816
10.50,39.05,0.836
10.75,39.05,0.856
11.00,39.05,0.876
11.25,39.05,0.896
11.50,39.05,0.915
11.75,39.05,0.935
12.00,39.05,0.955
12.25,39.05,0.975
12.50,39.05,0.995
12.75,39.05,1.015
13.00,39.05,1.034
13.25,39.05,1.054
13.50,39.05,1.074
13.75,39.05,1.094
14.00,39.05,1.114
14.25,39.05,1.134
14.50,39.05,1.154
14.75,39.05,1.173
15.00,39.05,1.193
15.25,39.05,1.213
15.50,39.04,1.233
15.75,39.04,1.253
16.00,39.04,1.273
16.25,39.04,1.292
16.50,39.04,1.312
16.75,39.04,1.332
17.00,39.04,1.352
17.25,39.04,1.372
17.50,39.04,1.392
17.75,39.04,1.411
18.00,39.04,1.431
18.25,39.04,1.451
18.50,39.04,1.471
18.75,39.04,1.491
19.00,39.04,1.511
19.25,39.04,1.530
19.50,39.04,1.550
19.75,39.03,1.570
20.00,39.03,1.590
20.25,39.03,1.610
20.50,39.03,1.630
20.75,39.03,1.649
21.00,39.03,1.669
21.25,39.03,1.689
21.50,39.03,1.709
21.75,39.03,1.729
22.00,39.03,1.749
22.25,39.03,1.768
22.50,39.03,1.788
22.75,39.03,1.808
23.00,39.03,1.828
23.25,39.03,1.848
23.50,39.02,1.868
23.75,39.02,1.887
24.00,39.02,1.907
24.25,39.02,1.927
24.50,39.02,1.947
24.75,39.02,1.967
25.00,39.02,1.987
25.25,39.02,2.006
25.50,39.02,2.026
25.75,39.02,2.046
26.00,39.01,2.066
26.25,39.01,2.086
26.50,39.01,2.106
26.75,39.01,2.125
27.00,39.01,2.145
27.25,39.01,2.165
27.50,39.01,2.185
27.75,39.01,2.205
28.00,39.00,2.224
28.25,39.00,2.244
28.50,39.00,2.264
28.75,39.00,2.284
29.00,39.00,2.304
29.25,39.00,2.324
29.50,39.00,2.343
29.75,38.99,2.363
30.00,38.99,2.383
30.25,38.99,2.403
30.50,38.99,2.423
30.75,38.99,2.442
31.00,38.98,2.462
31.25,38.98,2.482
31.50,38.98,2.502
31.75,38.98,2.522
32.00,38.98,2.541
32.25,38.98,2.561
32.50,38.98,2.581
32.75,38.97,2.601
33.00,38.97,2.621
33.25,38.97,2.640
33.50,38.97,2.660
33.75,38.97,2.680
34.00,38.96,2.700
34.25,38.96,2.720
34.50,38.96,2.739
34.75,38.96,2.759
35.00,38.96,2.779
35.25,38.96,2.799
35.50,38.95,2.819
35.75,38.95,2.838
36.00,38.95,2.858
36.25,38.95,2.878
36.50,38.95,2.898
36.75,38.94,2.918
37.00,38.94,2.937
37.25,38.94,2.957
37.50,38.94,2.977
37.75,38.94,2.997
38.00,38.94,3.017
38.25,38.93,3.036
38.50,38.93,3.056
38.75,38.93,3.076
39.00,38.92,3.096
39.25,38.92,3.115
39.50,38.92,3.135
39.75,38.92,3.155
40.00,38.92,3.175
40.25,38.92,3.195
40.50,38.91,3.214
40.75,38.91,3.234
41.00,38.91,3.254
41.25,38.90,3.274
41.50,38.90,3.293
41.75,38.90,3.313
42.00,38.89,3.333
42.25,38.89,3.353
42.50,38.89,3.372
42.75,38.89,3.392
43.00,38.89,3.412
43.25,38.88,3.432
43.50,38.88,3.451
43.75,38.87,3.471
44.00,38.87,3.491
44.25,38.87,3.511
44.50,38.87,3.530
44.75,38.87,3.550
45.00,38.86,3.570
45.25,38.86,3.590
45.50,38.86,3.609
45.75,38.85,3.629
46.00,38.85,3.649
46.25,38.85,3.669
46.50,38.85,3.688
46.75,38.85,3.708
47.00,38.84,3.728
47.25,38.84,3.748
47.50,38.84,3.767
47.75,38.83,3.787
48.00,38.83,3.807
48.25,38.83,3.827
48.50,38.83,3.846
48.75,38.83,3.866
49.00,38.82,3.886
49.25,38.82,3.905
49.50,38.82,3.925
49.75,38.81,3.945
50.00,38.81,3.965
50.25,38.81,3.984
50.50,38.80,4.004
50.75,38.80,4.024
51.00,38.80,4.043
51.25,38.80,4.063
51.50,38.79,4.083
51.75,38.79,4.103
52.00,38.78,4.122
52.25,38.78,4.142
52.50,38.78,4.162
52.75,38.78,4.181
53.00,38.78,4.201
53.25,38.78,4.221
53.50,38.77,4.241
53.75,38.77,4.260
54.00,38.77,4.280
54.25,38.76,4.300
54.50,38.76,4.319
54.75,38.76,4.339
55.00,38.76,4.359
55.25,38.76,4.378
55.50,38.75,4.398
55.75,38.75,4.418
56.00,38.74,4.437
56.25,38.74,4.457
56.50,38.74,4.477
56.75,38.74,4.497
57.00,38.73,4.516
57.25,38.73,4.536
57.50,38.73,4.556
57.75,38.73,4.575
58.00,38.73,4.595
58.25,38.73,4.615
58.50,38.72,4.634
58.75,38.72,4.654
59.00,38.72,4.674
59.25,38.71,4.693
59.50,38.71,4.713
59.75,38.71,4.733
60.00,38.71,4.752
60.25,38.71,4.772
60.50,38.71,4.792
60.75,38.70,4.811
61.00,38.70,4.831
61.25,38.70,4.851
61.50,38.70,4.870
61.75,38.70,4.890
62.00,38.69,4.910
62.25,38.69,4.929
62.50,38.69,4.949
62.75,38.69,4.969
63.00,38.69,4.988
63.25,38.69,5.008
63.50,38.68,5.028
63.75,38.68,5.047
64.00,38.68,5.067
64.25,38.68,5.087
64.50,38.68,5.106
64.75,38.67,5.126
65.00,38.67,5.146
65.25,38.67,5.165
65.50,38.67,5.185
65.75,38.67,5.204
66.00,38.67,5.224
66.25,38.67,5.244
66.50,38.67,5.263
66.75,38.66,5.283
67.00,38.66,5.303
67.25,38.66,5.322
67.50,38.65,5.342
67.75,38.65,5.362
68.00,38.65,5.381
68.25,38.65,5.401
68.50,38.65,5.421
68.75,38.64,5.440
69.00,38.64,5.460
69.25,38.64,5.479
69.50,38.64,5.499
69.75,38.64,5.519
70.00,38.64,5.538
70.25,38.64,5.558
70.50,38.64,5.578
70.75,38.64,5.597
71.00,38.63,5.617
71.25,38.63,5.637
71.50,38.63,5.656
71.75,38.63,5.676
72.00,38.63,5.695
72.25,38.63,5.715
72.50,38.62,5.735
72.75,38.62,5.754
73.00,38.62,5.774
73.25,38.62,5.794
73.50,38.62,5.813
73.75,38.62,5.833
74.00,38.62,5.852
74.25,38.62,5.872
74.50,38.61,5.892
74.75,38.61,5.911
75.00,38.61,5.931
75.25,38.61,5.950
75.50,38.61,5.970
75.75,38.61,5.990
76.00,38.61,6.009
76.25,38.60,6.029
76.50,38.60,6.049
76.75,38.60,6.068
77.00,38.60,6.088
77.25,38.60,6.107
77.50,38.60,6.127
77.75,38.60,6.147
78.00,38.60,6.166
78.25,38.60,6.186
78.50,38.60,6.205
78.75,38.59,6.225
79.00,38.59,6.245
79.25,38.59,6.264
79.50,38.59,6.284
79.75,38.59,6.304
80.00,38.59,6.323
80.25,38.58,6.343
80.50,38.54,6.362
80.75,38.56,6.382
81.00,38.56,6.402
81.25,38.56,6.421
81.50,38.56,6.441
81.75,38.56,6.460
82.00,38.56,6.480
82.25,38.56,6.499
82.50,38.56,6.519
82.75,38.56,6.539
83.00,38.56,6.558
83.25,38.56,6.578
83.50,38.55,6.597
83.75,38.55,6.617
84.00,38.55,6.637
84.25,38.55,6.656
84.50,38.55,6.676
84.75,38.55,6.695
85.00,38.55,6.715
85.25,38.55,6.735
85.50,38.55,6.754
85.75,38.55,6.774
86.00,38.55,6.793
86.25,38.55,6.813
86.50,38.54,6.833
86.75,38.54,6.852
87.00,38.54,6.872
87.25,38.54,6.891
87.50,38.54,6.911
87.75,38.54,6.930
88.00,38.54,6.950
88.25,38.54,6.970
88.50,38.54,6.989
88.75,38.54,7.009
89.00,38.53,7.028
89.25,38.53,7.048
89.50,38.53,7.067
89.75,38.53,7.087
90.00,38.53,7.107
90.25,38.53,7.126
90.50,38.53,7.146
90.75,38.53,7.165
91.00,38.53,7.185
91.25,38.53,7.205
91.50,38.52,7.224
91.75,38.52,7.244
92.00,38.52,7.263
92.25,38.52,7.283
92.50,38.52,7.302
92.75,38.52,7.322
93.00,38.52,7.342
93.25,38.52,7.361
93.50,38.52,7.381
93.75,38.51,7.400
94.00,38.51,7.420
94.25,38.52,7.439
94.50,38.51,7.459
94.75,38.51,7.479
95.00,38.51,7.498
95.25,38.51,7.518
95.50,38.51,7.537
95.75,38.51,7.557
96.00,38.51,7.576
96.25,38.51,7.596
96.50,38.51,7.616
96.75,38.51,7.635
97.00,38.50,7.655
97.25,38.50,7.674
97.50,38.50,7.694
97.75,38.50,7.713
98.00,38.50,7.733
98.25,38.50,7.752
98.50,38.50,7.772
98.75,38.50,7.792
99.00,38.50,7.811
99.25,38.50,7.831
99.50,38.49,7.850
99.75,38.49,7.870
100.00,38.49,7.889
100.25,38.49,7.909
100.50,38.49,7.929
100.75,38.49,7.948
101.00,38.49,7.968
101.25,38.49,7.987
101.50,38.49,8.007
101.75,38.49,8.026
102.00,38.48,8.046
102.25,38.48,8.065
102.50,38.48,8.085
102.75,38.48,8.105
103.00,38.48,8.124
103.25,38.48,8.144
103.50,38.47,8.163
103.75,38.47,8.183
104.00,38.47,8.202
104.25,38.47,8.222
104.50,38.47,8.241
104.75,38.47,8.261
105.00,38.47,8.280
105.25,38.47,8.300
105.50,38.46,8.320
105.75,38.46,8.339
