time,V,Ah
0.25,29.42,0.015
0.50,40.22,0.035
0.75,39.65,0.056
1.00,39.42,0.076
1.25,39.31,0.096
1.50,39.24,0.115
1.75,39.20,0.135
2.00,39.18,0.155
2.25,39.15,0.175
2.50,39.14,0.195
2.75,39.13,0.215
3.00,39.12,0.235
3.25,39.12,0.255
3.50,39.12,0.275
3.75,39.11,0.294
4.00,39.11,0.314
4.25,39.10,0.334
4.50,39.10,0.354
4.75,39.10,0.374
5.00,39.10,0.394
5.25,39.09,0.414
5.50,39.09,0.434
5.75,39.09,0.453
6.00,39.08,0.473
6.25,39.08,0.493
6.50,39.08,0.513
6.75,39.08,0.533
7.00,39.07,0.553
7.25,39.07,0.573
7.50,39.08,0.592
7.75,39.07,0.612
8.00,39.07,0.632
8.25,39.07,0.652
8.50,39.07,0.672
8.75,39.07,0.692
9.00,39.07,0.712
9.25,39.06,0.731
9.50,39.06,0.751
9.75,39.06,0.771
10.00,39.06,0.791
10.25,39.06,0.811
10.50,39.06,0.831
10.75,39.06,0.850
11.00,39.06,0.870
11.25,39.05,0.890
11.50,39.05,0.910
11.75,39.05,0.930
12.00,39.05,0.950
12.25,39.05,0.970
12.50,39.05,0.989
12.75,39.05,1.009
13.00,39.05,1.029
13.25,39.05,1.049
13.50,39.05,1.069
13.75,39.05,1.089
14.00,39.05,1.108
14.25,39.04,1.128
14.50,39.04,1.148
14.75,39.04,1.168
15.00,39.04,1.188
15.25,39.04,1.208
15.50,39.04,1.227
15.75,39.04,1.247
16.00,39.04,1.267
16.25,39.03,1.287
16.50,39.03,1.307
16.75,39.03,1.327
17.00,39.03,1.346
17.25,39.03,1.366
17.50,39.03,1.386
17.75,39.03,1.406
18.00,39.03,1.426
18.25,39.03,1.446
18.50,39.03,1.465
18.75,39.03,1.485
19.00,39.03,1.505
19.25,39.03,1.525
19.50,39.03,1.545
19.75,39.03,1.565
20.00,39.02,1.584
20.25,39.02,1.604
20.50,39.02,1.624
20.75,39.02,1.644
21.00,39.02,1.664
21.25,39.02,1.684
21.50,39.02,1.703
21.75,39.02,1.723
22.00,39.02,1.743
22.25,39.01,1.763
22.50,39.01,1.783
22.75,39.01,1.803
23.00,39.01,1.822
23.25,39.01,1.842
23.50,39.01,1.862
23.75,39.01,1.882
24.00,39.01,1.902
24.25,39.01,1.921
24.50,39.01,1.941
24.75,39.01,1.961
25.00,39.01,1.981
25.25,39.01,2.001
25.50,39.01,2.021
25.75,39.01,2.040
26.00,39.00,2.060
26.25,39.01,2.080
26.50,39.00,2.100
26.75,39.00,2.120
27.00,39.00,2.139
27.25,39.00,2.159
27.50,39.00,2.179
27.75,38.99,2.199
28.00,38.99,2.219
28.25,38.99,2.239
28.50,38.99,2.258
28.75,38.99,2.278
29.00,38.99,2.298
29.25,38.99,2.318
29.50,38.99,2.338
29.75,38.99,2.357
30.00,38.99,2.377
30.25,38.98,2.397
30.50,38.98,2.417
30.75,38.98,2.437
31.00,38.98,2.456
31.25,38.98,2.476
31.50,38.98,2.496
31.75,38.98,2.516
32.00,38.98,2.536
32.25,38.98,2.555
32.50,38.98,2.575
32.75,38.98,2.595
33.00,38.98,2.615
33.25,38.98,2.635
33.50,38.98,2.655
33.75,38.98,2.674
34.00,38.98,2.694
34.25,38.98,2.714
34.50,38.98,2.734
34.75,38.98,2.754
35.00,38.98,2.773
35.25,38.98,2.793
35.50,38.97,2.813
35.75,38.97,2.833
36.00,38.97,2.853
36.25,38.97,2.872
36.50,38.97,2.892
36.75,38.97,2.912
37.00,38.97,2.932
37.25,38.97,2.952
37.50,38.97,2.971
37.75,38.96,2.991
38.00,38.96,3.011
38.25,38.96,3.031
38.50,38.96,3.051
38.75,38.96,3.070
39.00,38.96,3.090
39.25,38.96,3.110
39.50,38.96,3.130
39.75,38.96,3.150
40.00,38.96,3.169
40.25,38.96,3.189
40.50,38.96,3.209
40.75,38.96,3.229
41.00,38.96,3.249
41.25,38.96,3.268
41.50,38.96,3.288
41.75,38.95,3.308
42.00,38.95,3.328
42.25,38.95,3.347
42.50,38.95,3.367
42.75,38.95,3.387
43.00,38.95,3.407
43.25,38.94,3.427
43.50,38.94,3.446
43.75,38.95,3.466
44.00,38.94,3.486
44.25,38.94,3.506
44.50,38.94,3.526
44.75,38.94,3.545
45.00,38.94,3.565
45.25,38.94,3.585
45.50,38.94,3.605
45.75,38.94,3.625
46.00,38.94,3.644
46.25,38.94,3.664
46.50,38.93,3.684
46.75,38.93,3.704
47.00,38.93,3.723
47.25,38.93,3.743
47.50,38.93,3.763
47.75,38.93,3.783
48.00,38.93,3.803
48.25,38.93,3.822
48.50,38.92,3.842
48.75,38.92,3.862
49.00,38.92,3.882
49.25,38.92,3.901
49.50,38.92,3.921
49.75,38.92,3.941
50.00,38.92,3.961
50.25,38.91,3.981
50.50,38.91,4.000
50.75,38.91,4.020
51.00,38.91,4.040
