time,V,Ah
0.25,40.99,0.021
0.50,40.46,0.041
0.75,40.16,0.062
1.00,39.97,0.082
1.25,39.83,0.102
1.50,39.71,0.123
1.75,39.61,0.143
2.00,39.52,0.163
2.25,39.45,0.183
2.50,39.39,0.203
2.75,39.35,0.223
3.00,39.31,0.243
3.25,39.27,0.263
3.50,39.25,0.283
3.75,39.23,0.303
4.00,39.21,0.323
4.25,39.20,0.342
4.50,39.19,0.362
4.75,39.18,0.382
5.00,39.18,0.402
5.25,39.18,0.422
5.50,39.17,0.442
5.75,39.17,0.462
6.00,39.17,0.482
6.25,39.17,0.502
6.50,39.17,0.522
6.75,39.17,0.541
7.00,39.17,0.561
7.25,39.17,0.581
7.50,39.17,0.601
7.75,39.17,0.621
8.00,39.17,0.641
8.25,39.17,0.661
8.50,39.17,0.681
8.75,39.17,0.701
9.00,39.17,0.721
9.25,39.17,0.741
9.50,39.17,0.760
9.75,39.17,0.780
10.00,39.16,0.800
10.25,39.17,0.820
10.50,39.17,0.840
10.75,39.17,0.860
11.00,39.17,0.880
11.25,39.17,0.900
11.50,39.17,0.920
11.75,39.17,0.940
12.00,39.16,0.959
12.25,39.17,0.979
12.50,39.17,0.999
12.75,39.17,1.019
13.00,39.16,1.039
13.25,39.16,1.059
13.50,39.16,1.079
13.75,39.16,1.099
14.00,39.17,1.119
14.25,39.16,1.139
14.50,39.16,1.158
14.75,39.16,1.178
15.00,39.16,1.198
15.25,39.16,1.218
15.50,39.16,1.238
15.75,39.16,1.258
16.00,39.16,1.278
16.25,39.16,1.298
16.50,39.16,1.318
16.75,39.16,1.338
17.00,39.16,1.357
17.25,39.16,1.377
17.50,39.16,1.397
17.75,39.16,1.417
18.00,39.16,1.437
18.25,39.16,1.457
18.50,39.16,1.477
18.75,39.16,1.497
19.00,39.15,1.517
19.25,39.16,1.537
19.50,39.15,1.556
19.75,39.15,1.576
20.00,39.15,1.596
20.25,39.15,1.616
20.50,39.15,1.636
20.75,39.15,1.656
21.00,39.15,1.676
21.25,39.15,1.696
21.50,39.15,1.716
21.75,39.15,1.735
22.00,39.15,1.755
22.25,39.15,1.775
22.50,39.14,1.795
22.75,39.14,1.815
23.00,39.14,1.835
23.25,39.14,1.855
23.50,39.14,1.875
