"time (m)",V,Ah
0,40.22,0
0.009,40.1,0.0001868012422360248
0.019,40.09,0.00039430641821946164
0.029,40.08,0.0006017598343685299
0.048,40.07,0.0009958229813664594
0.058,40.06,0.0012031728778467907
0.077,40.05,0.0015970393374741198
0.107,40.04,0.0022187784679089024
0.126,40.03,0.002612448240165631
0.145,40.02,0.0030060196687370596
0.184,40.01,0.003813674948240165
0.203,40,0.004207049689440994
0.233,39.99,0.004828012422360249
0.263,39.98,0.005448819875776398
0.294,39.97,0.006090160455486542
0.323,39.96,0.0066899741200828165
0.373,39.95,0.0077238768115942035
0.403,39.94,0.00834406314699793
0.452,39.93,0.009356780538302278
0.471,39.92,0.009749368530020704
0.51,39.91,0.010555005175983437
0.567,39.9,0.011732179089026915
0.596,39.89,0.012330942028985508
0.636,39.88,0.013156614906832299
0.674,39.87,0.013940807453416151
0.741,39.86,0.015323115942028986
0.807,39.85,0.016684451345755694
0.827,39.84,0.01709687370600414
0.918,39.83,0.018972924430641823
0.96,39.82,0.019838576604554865
1.009,39.81,0.02084825051759834
1.08,39.8,0.022310879917184265
1.161,39.79,0.023979094202898548
1.21,39.78,0.024988007246376807
1.291,39.77,0.026655383022774322
1.381,39.76,0.0285075569358178
1.45,39.75,0.029927199792960657
1.53,39.74,0.031572748447204965
1.6,39.73,0.03301224120082816
1.707,39.72,0.03521205486542443
1.802,39.71,0.03716466873706004
1.933,39.7,0.039856542443064184
1.98,39.69,0.04082208592132505
2.141,39.68,0.04412875258799172
2.24,39.67,0.046161532091097315
2.386,39.66,0.04915861283643893
2.556,39.65,0.05264748447204969
2.664,39.64,0.0548633850931677
2.9,39.63,0.05970431677018633
3.058,39.62,0.06294446169772257
3.234,39.61,0.06655282608695652
3.519,39.6,0.07239444099378882
3.732,39.59,0.07675917701863354
4.024,39.58,0.08274124741200828
4.249,39.57,0.08734955486542442
4.558,39.57,0.09367829710144927
4.695,39.56,0.09648353519668738
5.001,39.56,0.10274924948240167
5.011,39.55,0.1029539596273292
5.318,39.55,0.10923856107660455
5.624,39.55,0.11550269151138716
5.652,39.54,0.11607573498964804
5.936,39.53,0.12188656314699793
6.155,39.53,0.12636744824016563
6.46,39.53,0.132607950310559
6.766,39.53,0.13886891304347826
6.846,39.52,0.1405053519668737
7.153,39.52,0.14678518633540372
7.241,39.53,0.14858572463768116
7.539,39.52,0.15468145962732918
7.638,39.51,0.1567060403726708
7.82,39.51,0.16042799689440995
8.131,39.51,0.16678804347826087
8.438,39.51,0.1730662888198758
8.695,39.5,0.17832068840579712
8.821,39.5,0.18089677536231885
9.086,39.5,0.18631473602484475
9.389,39.5,0.19250961180124224
9.693,39.5,0.19872493271221534
9.822,39.49,0.20136168737060042
10.128,39.49,0.207616314699793
10.436,39.5,0.21391341614906836
10.626,39.5,0.21779799171842654
10.783,39.5,0.22100787784679093
11.085,39.49,0.22718074534161498
11.39,39.49,0.2334149327122154
11.439,39.48,0.23441623706004147
11.743,39.48,0.24062841097308496
11.858,39.48,0.24297841097308495
12.159,39.49,0.24913083850931683
12.463,39.48,0.2553430124223603
12.582,39.49,0.2577753674948241
12.885,39.48,0.26396710662525885
13.186,39.48,0.27011797619047623
13.49,39.48,0.2763301501035197
13.794,39.48,0.28254232401656315
14.097,39.48,0.2887340631469979
14.176,39.47,0.29034800207039335
14.442,39.47,0.2957822774327122
14.725,39.47,0.3015638561076604
14.836,39.48,0.3038321169772256
15.011,39.48,0.30740820393374735
15.318,39.47,0.3136800931677018
15.346,39.48,0.3142522670807453
15.65,39.47,0.32046286749482394
15.687,39.48,0.3212189544513457
15.844,39.46,0.32442559006211175
16.15,39.47,0.3306770496894409
16.229,39.46,0.33229057971014486
16.524,39.47,0.3383173136645962
16.585,39.46,0.33956320393374734
16.887,39.47,0.3457329451345755
17.181,39.46,0.3517377277432711
17.392,39.47,0.3560483747412007
17.695,39.46,0.3622369772256728
17.87,39.47,0.36581215838509307
18.173,39.47,0.37200232919254644
18.478,39.46,0.3782317805383022
18.782,39.46,0.384440807453416
18.899,39.47,0.3868310714285713
19.203,39.46,0.39304009834368514
19.461,39.47,0.3983109368530019
19.763,39.46,0.4044791149068322
20.062,39.46,0.4105860196687369
20.366,39.46,0.41679504658385075
20.666,39.46,0.42292237577639735
20.973,39.46,0.4291926759834367
21.276,39.46,0.43538127846790875
21.383,39.45,0.43756613871635597
21.685,39.46,0.4437343167701862
21.861,39.45,0.44732810559006203
22.161,39.46,0.45345543478260864
22.181,39.45,0.45386381987577634
22.436,39.45,0.45907072981366454
22.739,39.45,0.4652577639751552
23.043,39.46,0.47146679089026905
23.259,39.46,0.4758784679089026
23.526,39.46,0.48133179089026906
23.622,39.45,0.48329203933747406
23.822,39.46,0.48737692546583844
24.019,39.45,0.4913995186335403
24.323,39.45,0.4976069720496894
24.462,39.46,0.5004459679089026
24.768,39.45,0.5066942598343684
24.945,39.46,0.5103093840579709
25.183,39.46,0.5151703985507246
25.488,39.45,0.521398271221532
25.655,39.44,0.5248074223602485
25.961,39.45,0.5310557142857143
25.971,39.44,0.5312598550724638
26.276,39.45,0.5374877277432712
26.486,39.44,0.5417746842650104
26.584,39.45,0.5437757712215321
26.692,39.45,0.5459810507246377
26.995,39.44,0.552166516563147
27.114,39.45,0.5545964078674948
27.42,39.45,0.5608446997929606
27.727,39.44,0.5671118219461697
27.894,39.45,0.57052183747412
28.2,39.44,0.5767685455486542
28.505,39.44,0.5829948395445134
28.809,39.44,0.5892007194616977
29.114,39.44,0.5954270134575569
29.418,39.44,0.6016328933747411
29.718,39.44,0.6077571169772256
30.024,39.44,0.6140038250517598
30.331,39.44,0.6202709472049689
30.635,39.44,0.6264768271221532
30.943,39.44,0.6327643633540373
31.247,39.44,0.6389702432712215
31.552,39.44,0.6451965372670807
31.854,39.44,0.6513615890269151
32.16,39.44,0.6576082971014492
32.2,39.43,0.6584246532091098
32.51,39.44,0.6647530175983437
32.617,39.43,0.6669367701863355
32.921,39.44,0.6731426501035198
33.226,39.44,0.679368944099379
33.532,39.44,0.6856156521739131
33.6,39.43,0.6870034575569359
33.902,39.44,0.6931685093167703
33.942,39.43,0.6939848654244307
34.252,39.44,0.7003132298136647
34.554,39.44,0.7064782815734991
34.565,39.43,0.7067027795031057
34.849,39.43,0.7124989078674949
35.087,39.43,0.7173562267080748
35.235,39.43,0.7203767443064184
35.539,39.44,0.7265826242236028
35.594,39.43,0.7277051138716358
35.901,39.43,0.7339706469979299
35.931,39.44,0.7345830693581782
36.081,39.43,0.737644404761905
36.31,39.43,0.742318043478261
