"time (m)",V,Ah
  0.000, 40.42, 0.0000
  0.010, 40.26, 0.0008
  0.020, 40.20, 0.0017
  0.030, 40.18, 0.0025
  0.041, 40.13, 0.0033
  0.050, 40.11, 0.0041
  0.060, 40.07, 0.0049
  0.071, 40.03, 0.0058
  0.081, 40.00, 0.0066
  0.092, 39.98, 0.0075
  0.102, 39.96, 0.0083
  0.111, 39.93, 0.0091
  0.122, 39.90, 0.0099
  0.131, 39.88, 0.0107
  0.141, 39.86, 0.0115
  0.150, 39.85, 0.0122
  0.160, 39.83, 0.0130
  0.169, 39.81, 0.0138
  0.180, 39.79, 0.0147
  0.190, 39.78, 0.0154
  0.200, 39.77, 0.0163
  0.211, 39.75, 0.0172
  0.221, 39.73, 0.0180
  0.240, 39.71, 0.0195
  0.250, 39.70, 0.0203
  0.259, 39.69, 0.0210
  0.272, 39.67, 0.0220
  0.281, 39.66, 0.0228
  0.291, 39.65, 0.0236
  0.301, 39.63, 0.0244
  0.322, 39.62, 0.0261
  0.332, 39.61, 0.0269
  0.342, 39.60, 0.0277
  0.352, 39.59, 0.0285
  0.363, 39.58, 0.0294
  0.373, 39.57, 0.0302
  0.385, 39.56, 0.0312
  0.395, 39.55, 0.0319
  0.415, 39.54, 0.0336
  0.425, 39.53, 0.0344
  0.434, 39.52, 0.0351
  0.454, 39.51, 0.0367
  0.463, 39.50, 0.0374
  0.473, 39.49, 0.0382
  0.493, 39.48, 0.0398
  0.503, 39.47, 0.0406
  0.532, 39.46, 0.0429
  0.542, 39.45, 0.0437
  0.563, 39.44, 0.0454
  0.581, 39.43, 0.0469
  0.603, 39.42, 0.0486
  0.634, 39.41, 0.0511
  0.644, 39.40, 0.0520
  0.674, 39.39, 0.0543
  0.705, 39.38, 0.0568
  0.724, 39.37, 0.0583
  0.764, 39.36, 0.0616
  0.785, 39.35, 0.0632
  0.825, 39.34, 0.0664
  0.854, 39.33, 0.0687
  0.893, 39.32, 0.0719
  0.924, 39.31, 0.0743
  0.978, 39.30, 0.0786
  1.047, 39.29, 0.0841
  1.108, 39.28, 0.0890
  1.189, 39.27, 0.0955
  1.239, 39.26, 0.0995
  1.366, 39.25, 0.1096
  1.456, 39.24, 0.1168
  1.527, 39.23, 0.1224
  1.790, 39.22, 0.1434
  1.905, 39.21, 0.1526
  2.211, 39.21, 0.1770
  2.380, 39.20, 0.1905
  2.611, 39.19, 0.2088
  2.925, 39.19, 0.2339
  3.236, 39.19, 0.2586
  3.375, 39.18, 0.2697
  3.685, 39.18, 0.2944
  3.958, 39.17, 0.3161
  4.264, 39.17, 0.3405
  4.522, 39.18, 0.3610
  4.829, 39.17, 0.3855
  5.145, 39.17, 0.4106
  5.295, 39.16, 0.4225
  5.435, 39.16, 0.4337
  5.565, 39.16, 0.4441
  5.873, 39.16, 0.4685
  5.963, 39.17, 0.4757
  6.205, 39.17, 0.4950
  6.515, 39.16, 0.5197
  6.820, 39.16, 0.5439
  7.131, 39.16, 0.5686
  7.435, 39.16, 0.5929
  7.487, 39.15, 0.5970
  7.792, 39.15, 0.6213
  7.812, 39.16, 0.6229
  8.120, 39.15, 0.6474
  8.431, 39.15, 0.6722
  8.741, 39.15, 0.6968
  9.038, 39.16, 0.7205
  9.346, 39.15, 0.7449
  9.585, 39.14, 0.7640
  9.782, 39.14, 0.7796
  9.970, 39.14, 0.7946
 10.276, 39.14, 0.8190
 10.587, 39.14, 0.8436
 10.899, 39.14, 0.8685
 11.175, 39.15, 0.8905
 11.291, 39.15, 0.8997
 11.600, 39.14, 0.9243
 11.909, 39.14, 0.9489
 12.220, 39.14, 0.9736
 12.527, 39.14, 0.9980
 12.835, 39.14, 1.0226
 13.141, 39.14, 1.0469
 13.449, 39.14, 1.0714
 13.758, 39.14, 1.0959
 13.828, 39.13, 1.1015
 14.008, 39.13, 1.1158
 14.181, 39.13, 1.1296
 14.493, 39.14, 1.1544
 14.523, 39.13, 1.1568
 14.804, 39.13, 1.1792
 14.999, 39.13, 1.1947
 15.188, 39.13, 1.2097
 15.427, 39.13, 1.2287
 15.597, 39.14, 1.2423
 15.786, 39.14, 1.2573
 16.025, 39.14, 1.2762
 16.332, 39.13, 1.3007
 16.449, 39.14, 1.3100
 16.689, 39.14, 1.3291
 16.870, 39.14, 1.3435
 17.107, 39.14, 1.3623
 17.412, 39.13, 1.3866
 17.431, 39.14, 1.3881
 17.738, 39.13, 1.4125
 18.048, 39.13, 1.4372
 18.352, 39.13, 1.4614
 18.662, 39.13, 1.4860
 18.879, 39.12, 1.5033
 19.136, 39.12, 1.5237
 19.334, 39.12, 1.5395
 19.493, 39.12, 1.5521
 19.800, 39.12, 1.5765
 19.831, 39.13, 1.5789
 20.141, 39.12, 1.6036
 20.315, 39.13, 1.6175
 20.621, 39.12, 1.6418
 20.741, 39.13, 1.6513
 21.009, 39.13, 1.6726
 21.230, 39.13, 1.6902
 21.450, 39.13, 1.7077
 21.759, 39.12, 1.7323
 22.069, 39.12, 1.7569
 22.097, 39.13, 1.7591
 22.407, 39.12, 1.7838
 22.715, 39.12, 1.8083
 23.022, 39.12, 1.8327
 23.333, 39.12, 1.8574
 23.646, 39.12, 1.8823
 23.956, 39.12, 1.9070
 24.262, 39.12, 1.9313
 24.569, 39.12, 1.9557
 24.876, 39.12, 1.9801
 25.184, 39.12, 2.0046
 25.485, 39.11, 2.0286
 25.757, 39.11, 2.0501
 26.067, 39.12, 2.0748
 26.237, 39.11, 2.0883
 26.542, 39.11, 2.1126
 26.552, 39.12, 2.1134
 26.858, 39.11, 2.1377
 27.172, 39.11, 2.1626
 27.370, 39.12, 2.1784
 27.678, 39.11, 2.2028
 27.708, 39.10, 2.2053
 27.780, 39.12, 2.2110
 28.095, 39.11, 2.2361
 28.405, 39.11, 2.2607
 28.714, 39.11, 2.2853
 28.952, 39.10, 2.3041
 29.256, 39.11, 2.3283
 29.561, 39.11, 2.3526
 29.864, 39.11, 2.3767
 29.925, 39.10, 2.3815
 30.229, 39.10, 2.4057
 30.260, 39.11, 2.4081
 30.566, 39.10, 2.4324
 30.873, 39.10, 2.4568
 31.092, 39.11, 2.4742
 31.211, 39.11, 2.4837
 31.515, 39.10, 2.5079
 31.535, 39.11, 2.5095
 31.843, 39.10, 2.5339
 32.153, 39.10, 2.5586
 32.458, 39.10, 2.5828
 32.766, 39.10, 2.6073
 33.073, 39.10, 2.6317
 33.171, 39.09, 2.6394
 33.437, 39.09, 2.6606
 33.743, 39.10, 2.6849
 34.002, 39.09, 2.7055
 34.308, 39.10, 2.7298
 34.377, 39.09, 2.7353
 34.684, 39.10, 2.7597
 34.755, 39.09, 2.7653
 35.061, 39.09, 2.7897
 35.372, 39.09, 2.8143
 35.679, 39.09, 2.8387
 35.806, 39.10, 2.8489
 36.118, 39.09, 2.8736
 36.316, 39.10, 2.8894
 36.627, 39.09, 2.9141
 36.942, 39.09, 2.9391
 37.216, 39.08, 2.9609
 37.357, 39.08, 2.9720
 37.668, 39.09, 2.9967
 37.974, 39.08, 3.0211
 38.182, 39.09, 3.0376
 38.368, 39.09, 3.0524
 38.676, 39.08, 3.0769
 38.984, 39.08, 3.1013
 39.291, 39.08, 3.1257
 39.602, 39.08, 3.1504
 39.623, 39.07, 3.1521
 39.827, 39.07, 3.1682
 40.117, 39.07, 3.1913
 40.216, 39.08, 3.1992
 40.526, 39.08, 3.2238
 40.833, 39.07, 3.2481
 41.144, 39.07, 3.2728
 41.448, 39.07, 3.2970
 41.754, 39.07, 3.3213
 42.063, 39.07, 3.3458
 42.370, 39.07, 3.3702
 42.500, 39.06, 3.3805
 42.808, 39.07, 3.4050
 43.114, 39.07, 3.4293
 43.294, 39.06, 3.4436
 43.455, 39.06, 3.4563
 43.763, 39.06, 3.4808
 43.803, 39.07, 3.4840
 44.078, 39.07, 3.5058
 44.297, 39.07, 3.5232
 44.601, 39.06, 3.5474
 44.727, 39.05, 3.5574
 44.978, 39.05, 3.5772
 45.285, 39.06, 3.6016
