time,V,Ah
0.25,39.95,0.020
0.50,39.51,0.040
0.75,39.22,0.060
1.00,39.08,0.080
1.25,39.01,0.100
1.50,38.97,0.120
1.75,38.95,0.140
2.00,38.93,0.159
2.25,38.92,0.179
2.50,38.92,0.199
2.75,38.91,0.219
3.00,38.90,0.238
3.25,38.90,0.258
3.50,38.89,0.278
3.75,38.89,0.298
4.00,38.89,0.317
4.25,38.89,0.337
4.50,38.89,0.357
4.75,38.88,0.377
5.00,38.88,0.397
5.25,38.88,0.416
5.50,38.88,0.436
5.75,38.88,0.456
6.00,38.88,0.476
6.25,38.87,0.495
6.50,38.87,0.515
6.75,38.87,0.535
7.00,38.87,0.555
7.25,38.87,0.574
7.50,38.87,0.594
7.75,38.87,0.614
8.00,38.87,0.634
8.25,38.87,0.653
8.50,38.87,0.673
8.75,38.87,0.693
9.00,38.87,0.713
9.25,38.87,0.732
9.50,38.87,0.752
9.75,38.87,0.772
10.00,38.87,0.792
10.25,38.86,0.811
10.50,38.87,0.831
10.75,38.87,0.851
11.00,38.86,0.871
11.25,38.87,0.890
11.50,38.87,0.910
11.75,38.86,0.930
12.00,38.86,0.950
12.25,38.86,0.969
12.50,38.86,0.989
12.75,38.86,1.009
13.00,38.86,1.029
13.25,38.86,1.048
13.50,38.86,1.068
13.75,38.86,1.088
14.00,38.86,1.108
14.25,38.86,1.127
14.50,38.85,1.147
14.75,38.86,1.167
15.00,38.85,1.186
15.25,38.85,1.206
15.50,38.85,1.226
15.75,38.85,1.246
16.00,38.85,1.265
16.25,38.85,1.285
16.50,38.85,1.305
16.75,38.85,1.325
17.00,38.85,1.344
17.25,38.85,1.364
17.50,38.85,1.384
17.75,38.85,1.404
18.00,38.85,1.423
18.25,38.85,1.443
18.50,38.85,1.463
18.75,38.85,1.483
19.00,38.85,1.502
19.25,38.84,1.522
19.50,38.84,1.542
19.75,38.84,1.562
20.00,38.84,1.581
20.25,38.84,1.601
20.50,38.84,1.621
20.75,38.84,1.641
21.00,38.84,1.660
21.25,38.84,1.680
21.50,38.84,1.700
21.75,38.84,1.719
22.00,38.83,1.739
22.25,38.83,1.759
22.50,38.83,1.779
22.75,38.83,1.798
23.00,38.83,1.818
23.25,38.83,1.838
23.50,38.83,1.858
23.75,38.83,1.877
24.00,38.83,1.897
24.25,38.83,1.917
24.50,38.83,1.936
24.75,38.82,1.956
25.00,38.82,1.976
25.25,38.82,1.996
25.50,38.82,2.015
25.75,38.82,2.035
26.00,38.82,2.055
26.25,38.82,2.075
26.50,38.81,2.094
26.75,38.81,2.114
27.00,38.81,2.134
27.25,38.81,2.153
27.50,38.81,2.173
27.75,38.81,2.193
28.00,38.81,2.213
28.25,38.80,2.232
28.50,38.81,2.252
28.75,38.80,2.272
29.00,38.80,2.291
29.25,38.80,2.311
29.50,38.80,2.331
29.75,38.80,2.351
30.00,38.80,2.370
30.25,38.80,2.390
30.50,38.80,2.410
30.75,38.79,2.429
31.00,38.79,2.449
31.25,38.79,2.469
31.50,38.79,2.489
31.75,38.79,2.508
32.00,38.79,2.528
32.25,38.79,2.548
32.50,38.78,2.567
32.75,38.78,2.587
33.00,38.78,2.607
33.25,38.78,2.627
33.50,38.78,2.646
33.75,38.78,2.666
34.00,38.78,2.686
34.25,38.77,2.705
34.50,38.77,2.725
34.75,38.77,2.745
35.00,38.77,2.764
35.25,38.77,2.784
35.50,38.76,2.804
35.75,38.76,2.824
36.00,38.76,2.843
36.25,38.76,2.863
36.50,38.76,2.883
36.75,38.76,2.902
37.00,38.76,2.922
37.25,38.76,2.942
37.50,38.75,2.961
37.75,38.75,2.981
38.00,38.75,3.001
38.25,38.74,3.020
38.50,38.74,3.040
38.75,38.74,3.060
39.00,38.74,3.080
39.25,38.74,3.099
39.50,38.73,3.119
39.75,38.73,3.139
40.00,38.73,3.158
40.25,38.73,3.178
40.50,38.73,3.198
40.75,38.73,3.217
41.00,38.72,3.237
41.25,38.72,3.257
41.50,38.72,3.276
41.75,38.72,3.296
42.00,38.71,3.316
42.25,38.71,3.335
42.50,38.71,3.355
42.75,38.71,3.375
43.00,38.71,3.394
43.25,38.71,3.414
43.50,38.70,3.434
43.75,38.70,3.453
44.00,38.70,3.473
44.25,38.70,3.493
44.50,38.69,3.512
44.75,38.69,3.532
45.00,38.69,3.552
45.25,38.69,3.571
45.50,38.69,3.591
45.75,38.68,3.611
46.00,38.68,3.630
46.25,38.68,3.650
46.50,38.68,3.670
46.75,38.67,3.689
47.00,38.67,3.709
47.25,38.67,3.729
47.50,38.67,3.748
47.75,38.67,3.768
48.00,38.66,3.788
48.25,38.66,3.807
48.50,38.66,3.827
48.75,38.65,3.846
49.00,38.65,3.866
49.25,38.64,3.886
49.50,38.64,3.905
49.75,38.64,3.925
50.00,38.64,3.945
50.25,38.64,3.964
50.50,38.64,3.984
50.75,38.63,4.004
51.00,38.63,4.023
51.25,38.63,4.043
51.50,38.62,4.062
51.75,38.62,4.082
52.00,38.62,4.102
52.25,38.62,4.121
52.50,38.61,4.141
52.75,38.61,4.160
53.00,38.61,4.180
53.25,38.60,4.200
53.50,38.60,4.219
53.75,38.60,4.239
54.00,38.60,4.259
54.25,38.60,4.278
54.50,38.59,4.298
54.75,38.59,4.317
55.00,38.59,4.337
55.25,38.58,4.357
55.50,38.58,4.376
55.75,38.58,4.396
56.00,38.58,4.415
56.25,38.58,4.435
56.50,38.57,4.455
56.75,38.57,4.474
57.00,38.56,4.494
57.25,38.56,4.513
57.50,38.56,4.533
57.75,38.55,4.553
58.00,38.55,4.572
58.25,38.55,4.592
58.50,38.55,4.611
58.75,38.55,4.631
59.00,38.54,4.651
59.25,38.54,4.670
59.50,38.53,4.690
59.75,38.53,4.709
60.00,38.53,4.729
60.25,38.53,4.748
60.50,38.53,4.768
60.75,38.52,4.788
61.00,38.52,4.807
61.25,38.52,4.827
61.50,38.51,4.846
61.75,38.51,4.866
62.00,38.51,4.885
62.25,38.51,4.905
62.50,38.51,4.925
62.75,38.51,4.944
63.00,38.50,4.964
63.25,38.50,4.983
63.50,38.50,5.003
63.75,38.49,5.022
64.00,38.49,5.042
64.25,38.49,5.061
64.50,38.49,5.081
64.75,38.48,5.101
65.00,38.48,5.120
65.25,38.48,5.140
65.50,38.48,5.159
65.75,38.47,5.179
66.00,38.47,5.198
66.25,38.47,5.218
66.50,38.46,5.237
66.75,38.46,5.257
67.00,38.46,5.277
67.25,38.46,5.296
67.50,38.46,5.316
67.75,38.46,5.335
68.00,38.46,5.355
68.25,38.46,5.374
68.50,38.45,5.394
68.75,38.45,5.413
69.00,38.45,5.433
69.25,38.44,5.452
69.50,38.44,5.472
69.75,38.44,5.491
70.00,38.44,5.511
70.25,38.44,5.531
70.50,38.44,5.550
70.75,38.43,5.570
71.00,38.43,5.589
71.25,38.43,5.609
71.50,38.43,5.628
71.75,38.43,5.648
72.00,38.42,5.667
72.25,38.42,5.687
72.50,38.42,5.706
72.75,38.42,5.726
73.00,38.42,5.745
73.25,38.42,5.765
73.50,38.42,5.784
73.75,38.42,5.804
74.00,38.42,5.823
74.25,38.41,5.843
74.50,38.41,5.862
74.75,38.41,5.882
75.00,38.41,5.901
75.25,38.40,5.921
75.50,38.40,5.940
75.75,38.40,5.960
76.00,38.40,5.980
76.25,38.40,5.999
76.50,38.40,6.019
76.75,38.40,6.038
77.00,38.40,6.058
77.25,38.40,6.077
77.50,38.39,6.097
77.75,38.39,6.116
78.00,38.39,6.136
78.25,38.39,6.155
78.50,38.39,6.175
78.75,38.38,6.194
79.00,38.38,6.214
79.25,38.38,6.233
79.50,38.38,6.253
79.75,38.38,6.272
80.00,38.37,6.292
80.25,38.37,6.311
80.50,38.37,6.331
80.75,38.37,6.350
81.00,38.37,6.370
81.25,38.37,6.389
81.50,38.37,6.409
81.75,38.37,6.428
82.00,38.37,6.448
82.25,38.36,6.467
82.50,38.36,6.487
82.75,38.36,6.506
83.00,38.36,6.526
83.25,38.36,6.545
83.50,38.36,6.565
83.75,38.35,6.584
84.00,38.35,6.604
84.25,38.35,6.623
84.50,38.35,6.642
84.75,38.35,6.662
85.00,38.35,6.681
85.25,38.35,6.701
85.50,38.35,6.720
85.75,38.35,6.740
86.00,38.35,6.759
86.25,38.35,6.779
86.50,38.34,6.798
86.75,38.34,6.818
87.00,38.34,6.837
87.25,38.34,6.857
87.50,38.34,6.876
87.75,38.34,6.896
88.00,38.34,6.915
88.25,38.33,6.935
88.50,38.33,6.954
88.75,38.33,6.974
89.00,38.33,6.993
89.25,38.33,7.013
89.50,38.33,7.032
89.75,38.33,7.052
90.00,38.33,7.071
90.25,38.33,7.091
90.50,38.33,7.110
90.75,38.33,7.130
91.00,38.33,7.149
91.25,38.33,7.168
91.50,38.33,7.188
91.75,38.32,7.207
92.00,38.32,7.227
92.25,38.32,7.246
92.50,38.32,7.266
92.75,38.32,7.285
93.00,38.32,7.305
93.25,38.31,7.324
93.50,38.32,7.344
93.75,38.31,7.363
94.00,38.31,7.383
94.25,38.31,7.402
94.50,38.31,7.422
94.75,38.31,7.441
95.00,38.31,7.461
95.25,38.31,7.480
95.50,38.30,7.499
95.75,38.30,7.519
96.00,38.30,7.538
96.25,38.30,7.558
96.50,38.30,7.577
96.75,38.30,7.597
97.00,38.30,7.616
97.25,38.30,7.636
97.50,38.30,7.655
97.75,38.30,7.675
98.00,38.30,7.694
98.25,38.29,7.714
98.50,38.29,7.733
98.75,38.29,7.752
99.00,38.29,7.772
99.25,38.29,7.791
99.50,38.29,7.811
99.75,38.29,7.830
100.00,38.28,7.850
100.25,38.28,7.869
100.50,38.28,7.889
100.75,38.28,7.908
101.00,38.28,7.928
101.25,38.28,7.947
101.50,38.28,7.966
101.75,38.28,7.986
102.00,38.28,8.005
102.25,38.28,8.025
102.50,38.28,8.044
102.75,38.28,8.064
103.00,38.28,8.083
103.25,38.28,8.103
103.50,38.27,8.122
103.75,38.27,8.141
104.00,38.27,8.161
104.25,38.27,8.180
104.50,38.27,8.200
104.75,38.27,8.219
105.00,38.27,8.239
105.25,38.26,8.258
105.50,38.27,8.278
105.75,38.27,8.297
106.00,38.26,8.316
106.25,38.26,8.336
106.50,38.26,8.355
106.75,38.26,8.375
107.00,38.26,8.394
107.25,38.26,8.414
107.50,38.26,8.433
107.75,38.26,8.453
108.00,38.26,8.472
108.25,38.26,8.491
108.50,38.25,8.511
108.75,38.25,8.530
109.00,38.25,8.550
109.25,38.25,8.569
109.50,38.25,8.589
109.75,38.25,8.608
110.00,38.25,8.627
110.25,38.24,8.647
