time,V,Ah
0.25,40.22,0.020
0.50,39.71,0.041
0.75,39.44,0.061
1.00,39.30,0.081
1.25,39.19,0.101
1.50,39.10,0.120
1.75,39.03,0.140
2.00,38.98,0.160
2.25,38.93,0.180
2.50,38.89,0.200
2.75,38.86,0.219
3.00,38.84,0.239
3.25,38.82,0.259
3.50,38.80,0.279
3.75,38.79,0.298
4.00,38.78,0.318
4.25,38.77,0.338
4.50,38.76,0.357
4.75,38.75,0.377
5.00,38.75,0.397
5.25,38.75,0.416
5.50,38.74,0.436
5.75,38.74,0.456
6.00,38.74,0.475
6.25,38.74,0.495
6.50,38.74,0.515
6.75,38.74,0.534
7.00,38.74,0.554
7.25,38.73,0.574
7.50,38.73,0.594
7.75,38.73,0.613
8.00,38.73,0.633
8.25,38.73,0.653
8.50,38.73,0.672
8.75,38.73,0.692
9.00,38.73,0.712
9.25,38.73,0.731
9.50,38.73,0.751
9.75,38.73,0.771
10.00,38.73,0.790
10.25,38.73,0.810
10.50,38.73,0.830
10.75,38.73,0.849
11.00,38.73,0.869
11.25,38.73,0.889
11.50,38.73,0.908
11.75,38.73,0.928
12.00,38.73,0.948
12.25,38.73,0.967
12.50,38.73,0.987
12.75,38.73,1.007
13.00,38.73,1.026
13.25,38.73,1.046
13.50,38.73,1.066
13.75,38.73,1.086
14.00,38.73,1.105
14.25,38.73,1.125
14.50,38.73,1.145
14.75,38.73,1.164
15.00,38.73,1.184
15.25,38.73,1.204
15.50,38.73,1.223
15.75,38.73,1.243
16.00,38.72,1.263
16.25,38.72,1.282
16.50,38.72,1.302
16.75,38.72,1.322
17.00,38.72,1.341
17.25,38.72,1.361
17.50,38.72,1.381
17.75,38.72,1.400
18.00,38.72,1.420
18.25,38.72,1.440
18.50,38.72,1.459
18.75,38.71,1.479
19.00,38.71,1.499
19.25,38.71,1.518
19.50,38.71,1.538
19.75,38.71,1.558
20.00,38.71,1.577
20.25,38.71,1.597
20.50,38.71,1.617
20.75,38.71,1.636
21.00,38.71,1.656
21.25,38.71,1.676
21.50,38.71,1.695
21.75,38.71,1.715
22.00,38.71,1.735
22.25,38.71,1.754
22.50,38.70,1.774
22.75,38.70,1.794
23.00,38.70,1.813
23.25,38.70,1.833
23.50,38.70,1.853
23.75,38.70,1.872
24.00,38.70,1.892
24.25,38.69,1.912
24.50,38.69,1.931
24.75,38.69,1.951
25.00,38.69,1.971
25.25,38.69,1.990
25.50,38.69,2.010
25.75,38.69,2.030
26.00,38.69,2.049
26.25,38.69,2.069
26.50,38.69,2.089
26.75,38.68,2.108
27.00,38.68,2.128
27.25,38.68,2.148
27.50,38.68,2.167
27.75,38.68,2.187
28.00,38.68,2.207
28.25,38.67,2.226
28.50,38.67,2.246
28.75,38.67,2.266
29.00,38.67,2.285
29.25,38.67,2.305
29.50,38.67,2.325
29.75,38.67,2.344
30.00,38.67,2.364
30.25,38.67,2.383
30.50,38.66,2.403
30.75,38.66,2.423
31.00,38.66,2.442
31.25,38.66,2.462
31.50,38.66,2.482
31.75,38.65,2.501
32.00,38.65,2.521
32.25,38.65,2.541
32.50,38.65,2.560
32.75,38.65,2.580
33.00,38.64,2.600
33.25,38.64,2.619
33.50,38.64,2.639
33.75,38.64,2.658
34.00,38.64,2.678
34.25,38.64,2.698
34.50,38.64,2.717
34.75,38.63,2.737
35.00,38.63,2.757
35.25,38.63,2.776
35.50,38.62,2.796
35.75,38.62,2.815
36.00,38.62,2.835
36.25,38.62,2.855
36.50,38.62,2.874
36.75,38.62,2.894
37.00,38.61,2.914
37.25,38.61,2.933
37.50,38.61,2.953
37.75,38.61,2.972
38.00,38.60,2.992
38.25,38.60,3.012
38.50,38.60,3.031
38.75,38.60,3.051
39.00,38.60,3.070
39.25,38.60,3.090
39.50,38.59,3.110
39.75,38.59,3.129
40.00,38.59,3.149
40.25,38.58,3.169
40.50,38.58,3.188
40.75,38.58,3.208
41.00,38.58,3.227
41.25,38.58,3.247
41.50,38.58,3.267
41.75,38.58,3.286
42.00,38.57,3.306
42.25,38.57,3.325
42.50,38.57,3.345
42.75,38.56,3.365
43.00,38.56,3.384
43.25,38.56,3.404
43.50,38.56,3.423
43.75,38.56,3.443
44.00,38.55,3.463
44.25,38.55,3.482
44.50,38.55,3.502
44.75,38.55,3.521
45.00,38.55,3.541
45.25,38.54,3.560
45.50,38.54,3.580
45.75,38.54,3.600
46.00,38.54,3.619
46.25,38.53,3.639
46.50,38.53,3.658
46.75,38.53,3.678
47.00,38.53,3.697
47.25,38.53,3.717
47.50,38.52,3.737
47.75,38.52,3.756
48.00,38.52,3.776
48.25,38.51,3.795
48.50,38.51,3.815
48.75,38.51,3.835
49.00,38.51,3.854
49.25,38.51,3.874
49.50,38.51,3.893
49.75,38.51,3.913
50.00,38.50,3.932
50.25,38.50,3.952
50.50,38.50,3.971
50.75,38.49,3.991
51.00,38.49,4.011
51.25,38.49,4.030
51.50,38.49,4.050
51.75,38.49,4.069
52.00,38.49,4.089
52.25,38.48,4.108
52.50,38.48,4.128
52.75,38.48,4.147
53.00,38.48,4.167
53.25,38.47,4.187
53.50,38.47,4.206
53.75,38.47,4.226
54.00,38.47,4.245
54.25,38.46,4.265
54.50,38.46,4.284
54.75,38.46,4.304
55.00,38.46,4.323
55.25,38.46,4.343
55.50,38.46,4.362
55.75,38.45,4.382
56.00,38.45,4.402
56.25,38.45,4.421
56.50,38.45,4.441
56.75,38.44,4.460
57.00,38.44,4.480
57.25,38.44,4.499
57.50,38.44,4.519
57.75,38.44,4.538
58.00,38.43,4.558
58.25,38.43,4.577
58.50,38.43,4.597
58.75,38.43,4.616
59.00,38.43,4.636
59.25,38.42,4.655
59.50,38.42,4.675
59.75,38.42,4.694
60.00,38.42,4.714
60.25,38.42,4.734
60.50,38.42,4.753
60.75,38.42,4.773
61.00,38.41,4.792
61.25,38.41,4.812
61.50,38.41,4.831
61.75,38.41,4.851
62.00,38.40,4.870
62.25,38.40,4.890
62.50,38.40,4.909
62.75,38.40,4.929
63.00,38.40,4.948
63.25,38.40,4.968
63.50,38.39,4.987
63.75,38.39,5.007
64.00,38.39,5.026
64.25,38.39,5.046
64.50,38.39,5.065
64.75,38.39,5.085
65.00,38.38,5.104
65.25,38.38,5.124
65.50,38.38,5.143
65.75,38.37,5.163
66.00,38.37,5.182
66.25,38.37,5.202
66.50,38.37,5.221
66.75,38.37,5.241
67.00,38.37,5.260
67.25,38.37,5.280
67.50,38.37,5.299
67.75,38.36,5.319
68.00,38.36,5.338
68.25,38.36,5.358
68.50,38.36,5.377
68.75,38.35,5.397
69.00,38.35,5.416
69.25,38.35,5.436
69.50,38.35,5.455
69.75,38.35,5.475
70.00,38.35,5.494
70.25,38.35,5.514
70.50,38.35,5.533
70.75,38.34,5.553
71.00,38.34,5.572
71.25,38.34,5.592
71.50,38.34,5.611
71.75,38.33,5.631
72.00,38.33,5.650
72.25,38.33,5.669
72.50,38.33,5.689
72.75,38.33,5.708
73.00,38.33,5.728
73.25,38.33,5.747
73.50,38.32,5.767
73.75,38.32,5.786
74.00,38.32,5.806
74.25,38.32,5.825
74.50,38.32,5.845
74.75,38.32,5.864
75.00,38.31,5.884
75.25,38.31,5.903
75.50,38.31,5.923
75.75,38.31,5.942
76.00,38.31,5.962
76.25,38.30,5.981
76.50,38.30,6.000
76.75,38.30,6.020
77.00,38.30,6.039
77.25,38.30,6.059
77.50,38.29,6.078
77.75,38.29,6.098
78.00,38.29,6.117
78.25,38.29,6.137
78.50,38.29,6.156
78.75,38.28,6.176
79.00,38.28,6.195
79.25,38.28,6.214
79.50,38.28,6.234
79.75,38.28,6.253
80.00,38.28,6.273
80.25,38.28,6.292
80.50,38.27,6.312
80.75,38.27,6.331
81.00,38.27,6.351
81.25,38.27,6.370
81.50,38.27,6.390
81.75,38.26,6.409
82.00,38.26,6.428
82.25,38.26,6.448
82.50,38.26,6.467
82.75,38.26,6.487
83.00,38.25,6.506
83.25,38.25,6.526
83.50,38.25,6.545
83.75,38.25,6.564
84.00,38.25,6.584
84.25,38.24,6.603
84.50,38.24,6.623
84.75,38.24,6.642
85.00,38.24,6.662
85.25,38.24,6.681
85.50,38.24,6.700
85.75,38.23,6.720
86.00,38.23,6.739
86.25,38.23,6.759
86.50,38.22,6.778
86.75,38.22,6.798
87.00,38.22,6.817
87.25,38.22,6.836
87.50,38.21,6.856
87.75,38.21,6.875
88.00,38.21,6.895
88.25,38.21,6.914
88.50,38.21,6.934
88.75,38.20,6.953
89.00,38.20,6.972
89.25,38.20,6.992
89.50,38.19,7.011
89.75,38.19,7.031
90.00,38.19,7.050
90.25,38.19,7.069
90.50,38.19,7.089
90.75,38.19,7.108
91.00,38.19,7.128
91.25,38.18,7.147
91.50,38.18,7.166
91.75,38.18,7.186
92.00,38.18,7.205
92.25,38.17,7.225
92.50,38.17,7.244
92.75,38.17,7.263
93.00,38.17,7.283
93.25,38.16,7.302
93.50,38.16,7.322
93.75,38.16,7.341
94.00,38.16,7.360
94.25,38.15,7.380
94.50,38.15,7.399
94.75,38.15,7.418
95.00,38.15,7.438
95.25,38.15,7.457
95.50,38.14,7.477
95.75,38.14,7.496
96.00,38.14,7.515
96.25,38.14,7.535
96.50,38.13,7.554
96.75,38.13,7.574
97.00,38.12,7.593
97.25,38.12,7.612
97.50,38.12,7.632
97.75,38.12,7.651
98.00,38.12,7.670
98.25,38.11,7.690
98.50,38.11,7.709
98.75,38.11,7.728
99.00,38.10,7.748
99.25,38.10,7.767
99.50,38.10,7.787
99.75,38.10,7.806
100.00,38.10,7.825
100.25,38.09,7.845
100.50,38.09,7.864
100.75,38.09,7.883
101.00,38.09,7.903
101.25,38.08,7.922
101.50,38.08,7.941
101.75,38.08,7.961
102.00,38.08,7.980
102.25,38.08,7.999
102.50,38.07,8.019
102.75,38.07,8.038
103.00,38.07,8.057
103.25,38.06,8.077
103.50,38.06,8.096
103.75,38.06,8.115
104.00,38.06,8.135
104.25,38.06,8.154
104.50,38.06,8.174
104.75,38.05,8.193
