time,V,Ah
0.25,39.70,0.020
0.50,39.31,0.040
0.75,39.12,0.060
1.00,39.03,0.080
1.25,38.98,0.100
1.50,38.94,0.119
1.75,38.92,0.139
2.00,38.91,0.159
2.25,38.90,0.179
2.50,38.89,0.199
2.75,38.89,0.218
3.00,38.88,0.238
3.25,38.88,0.258
3.50,38.87,0.278
3.75,38.87,0.297
4.00,38.86,0.317
4.25,38.86,0.337
4.50,38.86,0.357
4.75,38.85,0.376
5.00,38.85,0.396
5.25,38.85,0.416
5.50,38.85,0.436
5.75,38.85,0.455
6.00,38.85,0.475
6.25,38.85,0.495
6.50,38.85,0.514
6.75,38.84,0.534
7.00,38.84,0.554
7.25,38.84,0.574
7.50,38.84,0.593
7.75,38.83,0.613
8.00,38.83,0.633
8.25,38.83,0.653
8.50,38.83,0.672
8.75,38.83,0.692
9.00,38.83,0.712
9.25,38.83,0.732
9.50,38.83,0.751
9.75,38.83,0.771
10.00,38.83,0.791
10.25,38.83,0.810
10.50,38.83,0.830
10.75,38.83,0.850
11.00,38.83,0.870
11.25,38.82,0.889
11.50,38.82,0.909
11.75,38.82,0.929
12.00,38.82,0.949
12.25,38.82,0.968
12.50,38.82,0.988
12.75,38.82,1.008
13.00,38.82,1.027
13.25,38.82,1.047
13.50,38.82,1.067
13.75,38.82,1.087
14.00,38.82,1.106
14.25,38.81,1.126
14.50,38.81,1.146
14.75,38.81,1.166
15.00,38.81,1.185
15.25,38.81,1.205
15.50,38.81,1.225
15.75,38.81,1.244
16.00,38.81,1.264
16.25,38.81,1.284
16.50,38.81,1.304
16.75,38.81,1.323
17.00,38.81,1.343
17.25,38.81,1.363
17.50,38.80,1.382
17.75,38.80,1.402
18.00,38.80,1.422
18.25,38.80,1.442
18.50,38.80,1.461
18.75,38.80,1.481
19.00,38.80,1.501
19.25,38.80,1.520
19.50,38.80,1.540
19.75,38.80,1.560
20.00,38.80,1.580
20.25,38.80,1.599
20.50,38.80,1.619
20.75,38.80,1.639
21.00,38.80,1.658
21.25,38.79,1.678
21.50,38.79,1.698
21.75,38.79,1.718
22.00,38.79,1.737
22.25,38.79,1.757
22.50,38.79,1.777
22.75,38.79,1.796
23.00,38.79,1.816
23.25,38.79,1.836
23.50,38.78,1.856
23.75,38.78,1.875
24.00,38.78,1.895
24.25,38.78,1.915
24.50,38.78,1.934
24.75,38.78,1.954
25.00,38.78,1.974
25.25,38.78,1.993
25.50,38.78,2.013
25.75,38.78,2.033
26.00,38.78,2.053
26.25,38.78,2.072
26.50,38.78,2.092
