time,V,Ah
0.50,39.84,0.020
0.75,39.30,0.040
1.00,39.06,0.060
1.25,38.94,0.080
1.50,38.88,0.100
1.75,38.84,0.119
2.00,38.81,0.139
2.25,38.79,0.159
2.50,38.78,0.178
2.75,38.77,0.198
3.00,38.76,0.218
3.25,38.76,0.238
3.50,38.76,0.257
3.75,38.75,0.277
4.00,38.75,0.297
4.25,38.74,0.316
4.50,38.74,0.336
4.75,38.74,0.356
5.00,38.73,0.375
5.25,38.73,0.395
5.50,38.73,0.415
5.75,38.73,0.434
6.00,38.73,0.454
6.25,38.73,0.474
6.50,38.73,0.493
6.75,38.73,0.513
7.00,38.73,0.533
7.25,38.73,0.552
7.50,38.73,0.572
7.75,38.72,0.592
8.00,38.72,0.612
8.25,38.72,0.631
8.50,38.72,0.651
8.75,38.72,0.671
9.00,38.72,0.690
9.25,38.72,0.710
9.50,38.73,0.730
9.75,38.73,0.749
10.00,38.73,0.769
10.25,38.73,0.789
10.50,38.73,0.808
10.75,38.73,0.828
11.00,38.73,0.848
11.25,38.73,0.867
11.50,38.73,0.887
11.75,38.73,0.907
12.00,38.73,0.926
12.25,38.72,0.946
12.50,38.72,0.966
12.75,38.72,0.985
13.00,38.72,1.005
13.25,38.72,1.025
13.50,38.72,1.044
13.75,38.72,1.064
14.00,38.72,1.084
14.25,38.72,1.103
14.50,38.72,1.123
14.75,38.72,1.143
15.00,38.72,1.162
15.25,38.71,1.182
15.50,38.72,1.202
15.75,38.71,1.221
16.00,38.72,1.241
16.25,38.71,1.261
16.50,38.72,1.280
16.75,38.71,1.300
17.00,38.71,1.320
17.25,38.71,1.340
17.50,38.72,1.359
17.75,38.72,1.379
18.00,38.72,1.399
18.25,38.72,1.418
18.50,38.72,1.438
18.75,38.72,1.458
19.00,38.72,1.477
19.25,38.72,1.497
19.50,38.72,1.517
19.75,38.72,1.536
20.00,38.71,1.556
20.25,38.71,1.576
20.50,38.71,1.595
20.75,38.72,1.615
21.00,38.72,1.635
21.25,38.72,1.654
21.50,38.71,1.674
21.75,38.71,1.694
22.00,38.72,1.713
22.25,38.71,1.733
22.50,38.71,1.753
22.75,38.71,1.772
23.00,38.71,1.792
23.25,38.71,1.812
23.50,38.71,1.831
23.75,38.71,1.851
24.00,38.71,1.871
24.25,38.71,1.890
24.50,38.71,1.910
24.75,38.71,1.930
25.00,38.71,1.949
25.25,38.71,1.969
25.50,38.71,1.989
25.75,38.71,2.008
26.00,38.71,2.028
26.25,38.71,2.048
26.50,38.71,2.067
26.75,38.71,2.087
27.00,38.71,2.107
27.25,38.71,2.126
27.50,38.71,2.146
27.75,38.71,2.166
28.00,38.70,2.185
28.25,38.70,2.205
28.50,38.70,2.225
28.75,38.70,2.244
29.00,38.70,2.264
29.25,38.70,2.284
29.50,38.70,2.303
29.75,38.70,2.323
30.00,38.70,2.343
30.25,38.70,2.362
30.50,38.70,2.382
30.75,38.70,2.402
31.00,38.70,2.421
31.25,38.70,2.441
31.50,38.69,2.461
31.75,38.69,2.480
32.00,38.69,2.500
32.25,38.69,2.520
32.50,38.69,2.539
32.75,38.69,2.559
33.00,38.69,2.579
33.25,38.69,2.598
33.50,38.69,2.618
33.75,38.69,2.638
34.00,38.69,2.657
34.25,38.68,2.677
34.50,38.69,2.697
34.75,38.68,2.716
35.00,38.68,2.736
35.25,38.68,2.756
35.50,38.68,2.775
35.75,38.68,2.795
36.00,38.68,2.815
36.25,38.68,2.834
36.50,38.68,2.854
36.75,38.68,2.873
37.00,38.68,2.893
37.25,38.67,2.913
37.50,38.67,2.932
37.75,38.67,2.952
38.00,38.67,2.972
38.25,38.67,2.991
38.50,38.67,3.011
38.75,38.67,3.031
39.00,38.67,3.050
39.25,38.67,3.070
39.50,38.67,3.090
39.75,38.67,3.109
40.00,38.66,3.129
40.25,38.66,3.149
40.50,38.66,3.168
40.75,38.66,3.188
41.00,38.66,3.207
41.25,38.66,3.227
41.50,38.66,3.247
41.75,38.66,3.266
42.00,38.65,3.286
42.25,38.65,3.306
42.50,38.65,3.325
42.75,38.65,3.345
43.00,38.65,3.365
43.25,38.65,3.384
43.50,38.64,3.404
43.75,38.64,3.424
44.00,38.64,3.443
44.25,38.64,3.463
44.50,38.64,3.482
44.75,38.64,3.502
45.00,38.64,3.522
45.25,38.64,3.541
45.50,38.64,3.561
45.75,38.63,3.581
46.00,38.63,3.600
46.25,38.63,3.620
46.50,38.63,3.639
46.75,38.63,3.659
47.00,38.63,3.679
47.25,38.63,3.698
47.50,38.62,3.718
47.75,38.62,3.738
48.00,38.62,3.757
48.25,38.62,3.777
48.50,38.62,3.796
48.75,38.61,3.816
49.00,38.61,3.836
49.25,38.61,3.855
49.50,38.61,3.875
49.75,38.61,3.895
50.00,38.60,3.914
50.25,38.60,3.934
50.50,38.60,3.953
50.75,38.60,3.973
51.00,38.60,3.993
51.25,38.60,4.012
51.50,38.60,4.032
51.75,38.60,4.051
52.00,38.59,4.071
52.25,38.59,4.091
52.50,38.59,4.110
52.75,38.59,4.130
53.00,38.58,4.150
53.25,38.58,4.169
53.50,38.58,4.189
53.75,38.58,4.208
54.00,38.58,4.228
54.25,38.58,4.248
54.50,38.57,4.267
54.75,38.57,4.287
55.00,38.57,4.306
55.25,38.56,4.326
55.50,38.56,4.346
55.75,38.56,4.365
56.00,38.56,4.385
56.25,38.55,4.404
56.50,38.55,4.424
56.75,38.55,4.443
57.00,38.55,4.463
57.25,38.54,4.483
57.50,38.54,4.502
57.75,38.54,4.522
58.00,38.54,4.541
58.25,38.54,4.561
58.50,38.53,4.581
58.75,38.53,4.600
59.00,38.53,4.620
59.25,38.53,4.639
59.50,38.52,4.659
59.75,38.52,4.678
60.00,38.52,4.698
60.25,38.51,4.718
60.50,38.51,4.737
60.75,38.51,4.757
61.00,38.51,4.776
61.25,38.50,4.796
61.50,38.50,4.815
61.75,38.50,4.835
62.00,38.49,4.855
62.25,38.49,4.874
62.50,38.49,4.894
62.75,38.49,4.913
63.00,38.49,4.933
63.25,38.48,4.952
63.50,38.48,4.972
63.75,38.48,4.991
64.00,38.48,5.011
64.25,38.47,5.031
64.50,38.47,5.050
64.75,38.46,5.070
65.00,38.46,5.089
65.25,38.46,5.109
65.50,38.46,5.128
65.75,38.46,5.148
66.00,38.46,5.167
66.25,38.45,5.187
66.50,38.45,5.206
66.75,38.45,5.226
67.00,38.44,5.245
67.25,38.44,5.265
67.50,38.44,5.285
67.75,38.44,5.304
68.00,38.43,5.324
68.25,38.43,5.343
68.50,38.43,5.363
68.75,38.42,5.382
69.00,38.42,5.402
69.25,38.42,5.421
69.50,38.42,5.441
69.75,38.42,5.460
70.00,38.42,5.480
70.25,38.41,5.499
70.50,38.41,5.519
70.75,38.41,5.538
71.00,38.41,5.558
71.25,38.40,5.577
71.50,38.40,5.597
71.75,38.40,5.616
72.00,38.40,5.636
72.25,38.40,5.655
72.50,38.40,5.675
72.75,38.39,5.694
73.00,38.39,5.714
73.25,38.39,5.733
73.50,38.38,5.753
73.75,38.38,5.772
74.00,38.38,5.792
74.25,38.38,5.811
74.50,38.38,5.831
74.75,38.37,5.850
75.00,38.37,5.870
75.25,38.37,5.889
75.50,38.37,5.909
75.75,38.37,5.928
76.00,38.37,5.948
76.25,38.37,5.967
76.50,38.37,5.987
76.75,38.36,6.006
77.00,38.36,6.026
77.25,38.36,6.045
77.50,38.36,6.065
77.75,38.36,6.084
78.00,38.35,6.104
78.25,38.35,6.123
78.50,38.35,6.143
78.75,38.35,6.162
79.00,38.35,6.182
79.25,38.35,6.201
79.50,38.35,6.221
79.75,38.34,6.240
80.00,38.34,6.260
80.25,38.34,6.279
80.50,38.34,6.299
80.75,38.34,6.318
81.00,38.34,6.338
81.25,38.33,6.357
81.50,38.33,6.377
81.75,38.33,6.396
82.00,38.33,6.416
82.25,38.33,6.435
82.50,38.33,6.455
82.75,38.33,6.474
83.00,38.33,6.494
83.25,38.33,6.513
83.50,38.33,6.532
83.75,38.33,6.552
84.00,38.32,6.571
84.25,38.32,6.591
84.50,38.32,6.610
84.75,38.32,6.630
85.00,38.32,6.649
85.25,38.32,6.669
85.50,38.32,6.688
85.75,38.32,6.708
86.00,38.31,6.727
86.25,38.31,6.747
86.50,38.31,6.766
86.75,38.31,6.786
87.00,38.31,6.805
87.25,38.31,6.825
87.50,38.31,6.844
87.75,38.30,6.863
88.00,38.30,6.883
88.25,38.30,6.902
88.50,38.30,6.922
88.75,38.30,6.941
89.00,38.30,6.961
89.25,38.30,6.980
89.50,38.30,7.000
89.75,38.30,7.019
90.00,38.30,7.039
90.25,38.30,7.058
90.50,38.30,7.078
90.75,38.30,7.097
91.00,38.29,7.116
91.25,38.29,7.136
91.50,38.29,7.155
91.75,38.29,7.175
92.00,38.29,7.194
92.25,38.29,7.214
92.50,38.29,7.233
92.75,38.29,7.253
93.00,38.29,7.272
93.25,38.28,7.292
93.50,38.28,7.311
93.75,38.28,7.330
94.00,38.28,7.350
94.25,38.28,7.369
94.50,38.28,7.389
94.75,38.28,7.408
95.00,38.28,7.428
95.25,38.28,7.447
95.50,38.28,7.467
95.75,38.28,7.486
96.00,38.28,7.505
96.25,38.28,7.525
96.50,38.28,7.544
96.75,38.27,7.564
97.00,38.27,7.583
97.25,38.27,7.603
97.50,38.27,7.622
97.75,38.27,7.642
98.00,38.27,7.661
98.25,38.27,7.681
98.50,38.27,7.700
98.75,38.27,7.719
99.00,38.26,7.739
99.25,38.26,7.758
99.50,38.26,7.778
99.75,38.26,7.797
100.00,38.26,7.817
100.25,38.26,7.836
100.50,38.26,7.855
100.75,38.26,7.875
101.00,38.26,7.894
101.25,38.26,7.914
101.50,38.26,7.933
101.75,38.26,7.953
102.00,38.25,7.972
102.25,38.25,7.992
102.50,38.25,8.011
102.75,38.25,8.030
103.00,38.25,8.050
103.25,38.25,8.069
103.50,38.25,8.089
103.75,38.25,8.108
104.00,38.24,8.128
104.25,38.25,8.147
104.50,38.24,8.166
104.75,38.24,8.186
105.00,38.25,8.205
105.25,38.25,8.225
105.50,38.24,8.244
105.75,38.24,8.264
106.00,38.24,8.283
106.25,38.24,8.303
106.50,38.24,8.322
106.75,38.24,8.341
107.00,38.24,8.361
107.25,38.24,8.380
107.50,38.24,8.400
107.75,38.24,8.419
108.00,38.23,8.439
108.25,38.23,8.458
108.50,38.23,8.477
108.75,38.23,8.497
109.00,38.23,8.516
109.25,38.23,8.536
109.50,38.23,8.555
109.75,38.23,8.575
110.00,38.23,8.594
110.25,38.23,8.613
110.50,38.22,8.633
110.75,38.22,8.652
111.00,38.22,8.672
111.25,38.22,8.691
111.50,38.22,8.710
111.75,38.22,8.730
112.00,38.22,8.749
112.25,38.22,8.769
112.50,38.22,8.788
112.75,38.21,8.808
113.00,38.21,8.827
113.25,38.21,8.846
113.50,38.21,8.866
113.75,38.21,8.885
114.00,38.21,8.905
114.25,38.21,8.924
114.50,38.21,8.943
114.75,38.21,8.963
115.00,38.21,8.982
115.25,38.21,9.002
115.50,38.21,9.021
115.75,38.20,9.041
116.00,38.20,9.060
116.25,38.20,9.079
116.50,38.20,9.099
116.75,38.20,9.118
117.00,38.20,9.138
117.25,38.20,9.157
117.50,38.20,9.176
117.75,38.20,9.196
118.00,38.19,9.215
118.25,38.19,9.235
118.50,38.19,9.254
118.75,38.19,9.273
119.00,38.19,9.293
119.25,38.19,9.312
119.50,38.19,9.332
119.75,38.19,9.351
120.00,38.19,9.370
120.25,38.19,9.390
120.50,38.19,9.409
120.75,38.19,9.429
121.00,38.19,9.448
121.25,38.19,9.468
121.50,38.18,9.487
121.75,38.18,9.506
122.00,38.18,9.526
122.25,38.18,9.545
122.50,38.18,9.565
122.75,38.17,9.584
123.00,38.17,9.603
123.25,38.17,9.623
123.50,38.17,9.642
123.75,38.17,9.661
124.00,38.17,9.681
124.25,38.17,9.700
124.50,38.17,9.720
124.75,38.17,9.739
125.00,38.17,9.758
125.25,38.16,9.778
125.50,38.16,9.797
125.75,38.16,9.817
126.00,38.16,9.836
126.25,38.16,9.855
126.50,38.15,9.875
126.75,38.15,9.894
127.00,38.15,9.914
127.25,38.15,9.933
127.50,38.15,9.952
127.75,38.15,9.972
128.00,38.15,9.991
128.25,38.15,10.010
128.50,38.15,10.030
128.75,38.15,10.049
129.00,38.14,10.069
129.25,38.14,10.088
129.50,38.14,10.107
129.75,38.14,10.127
130.00,38.14,10.146
130.25,38.13,10.166
